epoch,step,test_acc,test_loss,wall_s
0,468,0.967,0.112,0.83
1,936,0.9739,0.0875,1.59
2,1404,0.9756,0.0883,2.37
3,1872,0.979,0.0698,3.14
4,2340,0.9809,0.0731,3.94
5,2808,0.9785,0.0741,4.71
6,3276,0.9758,0.0849,5.49
7,3744,0.9846,0.0625,6.26
8,4212,0.9828,0.0657,7.04
9,4680,0.9855,0.0592,7.83
10,5148,0.9865,0.052,8.61
11,5616,0.987,0.0501,9.37
12,6084,0.987,0.0498,10.14
13,6552,0.9871,0.0487,10.93
14,7020,0.9867,0.0488,11.73
15,7488,0.9872,0.0482,12.51
16,7956,0.9869,0.0478,13.29
17,8424,0.987,0.0474,14.05
18,8892,0.9875,0.0471,14.81
19,9360,0.9875,0.0472,15.58
20,9828,0.9873,0.0468,16.35
21,10296,0.9872,0.0468,17.13
22,10764,0.9871,0.0469,17.92
23,11232,0.987,0.0468,18.67
24,11700,0.9871,0.0469,19.43
25,12168,0.9872,0.0469,20.21
26,12636,0.9871,0.0469,20.99
27,13104,0.9871,0.0469,21.74
28,13572,0.9871,0.0469,22.53
29,14040,0.9871,0.0469,23.29
