epoch,step,test_acc,test_loss,wall_s
0,468,0.1993,51.9264,1.08
1,936,0.1818,90.9353,2.0
2,1404,0.178,62.272,2.9
3,1872,0.2744,79.377,3.81
4,2340,0.2282,62.7749,4.71
5,2808,0.1862,84.4273,5.63
6,3276,0.363,37.5599,6.52
7,3744,0.2083,57.6365,7.43
8,4212,0.2764,65.4852,8.3
9,4680,0.2393,40.6574,9.2
10,5148,0.252,62.4199,10.1
11,5616,0.251,67.2049,10.98
12,6084,0.32,45.1063,11.9
13,6552,0.3517,75.5794,12.81
14,7020,0.3392,24.3729,13.71
15,7488,0.1903,77.5317,14.59
16,7956,0.1977,87.0819,15.48
17,8424,0.364,63.6657,16.4
18,8892,0.5382,21.9552,17.29
19,9360,0.754,8.3338,18.2
20,9828,0.7223,7.7976,19.08
21,10296,0.7689,3.8305,19.97
22,10764,0.6703,6.6612,20.85
23,11232,0.7843,3.1025,21.76
24,11700,0.7599,3.8484,22.65
25,12168,0.7906,2.4442,23.53
26,12636,0.8029,2.2105,24.44
27,13104,0.8154,1.7681,25.32
28,13572,0.7557,2.8138,26.2
29,14040,0.8193,1.9509,27.06
