epoch,step,test_acc,test_loss,wall_s
0,468,0.9055,0.3241,0.96
1,936,0.9202,0.2716,1.73
2,1404,0.9358,0.2246,2.5
3,1872,0.9379,0.2075,3.31
4,2340,0.9429,0.1926,4.1
5,2808,0.9515,0.1633,4.87
6,3276,0.9543,0.1563,5.63
7,3744,0.9562,0.1459,6.4
8,4212,0.9585,0.1397,7.19
9,4680,0.9599,0.1344,7.99
10,5148,0.9614,0.1289,8.78
11,5616,0.9644,0.123,9.59
12,6084,0.9643,0.1215,10.36
13,6552,0.9646,0.1192,11.13
14,7020,0.9658,0.1153,11.9
15,7488,0.9663,0.1136,12.68
16,7956,0.967,0.1137,13.47
17,8424,0.9674,0.1093,14.27
18,8892,0.9682,0.1084,15.05
19,9360,0.9676,0.108,15.81
20,9828,0.9686,0.1066,16.6
21,10296,0.9689,0.1049,17.41
22,10764,0.9686,0.1051,18.19
23,11232,0.9691,0.1036,18.96
24,11700,0.9691,0.1035,19.73
25,12168,0.9702,0.1037,20.5
26,12636,0.9695,0.1032,21.29
27,13104,0.9698,0.1031,22.07
28,13572,0.9702,0.1032,22.83
29,14040,0.9703,0.1032,23.61
