epoch,step,test_acc,test_loss,wall_s
0,468,0.8933,0.3813,0.98
1,936,0.9086,0.3227,1.76
2,1404,0.9163,0.2919,2.55
3,1872,0.9239,0.2713,3.31
4,2340,0.9243,0.2595,4.09
5,2808,0.9277,0.248,4.85
6,3276,0.93,0.2402,5.64
7,3744,0.9345,0.2288,6.41
8,4212,0.9349,0.224,7.18
9,4680,0.9379,0.2166,7.96
10,5148,0.9397,0.2115,8.75
11,5616,0.9402,0.2066,9.54
12,6084,0.9427,0.2015,10.33
13,6552,0.943,0.2006,11.09
14,7020,0.944,0.1967,11.87
15,7488,0.9451,0.1945,12.65
16,7956,0.9461,0.1924,13.42
17,8424,0.9462,0.1907,14.21
18,8892,0.9464,0.1888,14.99
19,9360,0.9472,0.1882,15.75
20,9828,0.9476,0.1856,16.52
21,10296,0.9476,0.1861,17.3
22,10764,0.9473,0.1855,18.09
23,11232,0.9474,0.1852,18.91
24,11700,0.9479,0.184,19.71
25,12168,0.9479,0.1833,20.5
26,12636,0.9483,0.1834,21.26
27,13104,0.9478,0.1831,22.03
28,13572,0.9474,0.1832,22.82
29,14040,0.9479,0.1832,23.59
