epoch,step,test_acc,test_loss,wall_s
0,468,0.9437,0.1903,1.0
1,936,0.9591,0.1368,1.8
2,1404,0.9679,0.1109,2.65
3,1872,0.9693,0.1023,3.45
4,2340,0.973,0.0926,4.25
5,2808,0.9732,0.0881,5.04
6,3276,0.9759,0.0796,5.84
7,3744,0.9777,0.0752,6.65
8,4212,0.9781,0.0727,7.46
9,4680,0.9773,0.0704,8.27
10,5148,0.9773,0.0719,9.06
11,5616,0.979,0.0659,9.87
12,6084,0.9798,0.0636,10.66
13,6552,0.9791,0.0652,11.47
14,7020,0.9793,0.0643,12.29
15,7488,0.9816,0.0624,13.08
16,7956,0.9808,0.0613,13.87
17,8424,0.9813,0.0614,14.72
18,8892,0.9822,0.0595,15.53
19,9360,0.9813,0.0601,16.34
20,9828,0.9819,0.0582,17.13
21,10296,0.982,0.0593,17.92
22,10764,0.9813,0.0592,18.73
23,11232,0.9815,0.0587,19.55
24,11700,0.9818,0.0576,20.37
25,12168,0.9817,0.0586,21.17
26,12636,0.9819,0.0582,21.99
27,13104,0.982,0.0583,22.79
28,13572,0.9819,0.0577,23.58
29,14040,0.9819,0.0579,24.44
