epoch,step,test_acc,test_loss,wall_s
0,468,0.9062,0.343,1.01
1,936,0.9228,0.2818,1.83
2,1404,0.9282,0.2496,2.63
3,1872,0.9351,0.2273,3.47
4,2340,0.942,0.2042,4.28
5,2808,0.9458,0.1874,5.08
6,3276,0.9503,0.1736,5.89
7,3744,0.9513,0.1621,6.7
8,4212,0.9563,0.1524,7.5
9,4680,0.9584,0.1461,8.29
10,5148,0.9606,0.1402,9.1
11,5616,0.9605,0.1331,9.91
12,6084,0.9634,0.128,10.71
13,6552,0.9639,0.1258,11.51
14,7020,0.9651,0.1215,12.32
15,7488,0.9649,0.1198,13.12
16,7956,0.9656,0.1178,13.94
17,8424,0.9665,0.1157,14.75
18,8892,0.9679,0.1132,15.59
19,9360,0.9675,0.1116,16.41
20,9828,0.9685,0.11,17.21
21,10296,0.9696,0.1094,18.03
22,10764,0.9692,0.1087,18.82
23,11232,0.97,0.1075,19.64
24,11700,0.9695,0.1064,20.44
25,12168,0.969,0.1067,21.28
26,12636,0.9698,0.1061,22.09
27,13104,0.9697,0.1066,22.92
28,13572,0.9694,0.1059,23.71
29,14040,0.9696,0.1058,24.51
