epoch,step,test_acc,test_loss,wall_s
0,468,0.9528,0.1529,2.75
1,936,0.9634,0.1249,5.21
2,1404,0.9725,0.0891,7.7
3,1872,0.9751,0.0797,10.13
4,2340,0.9774,0.0749,12.74
5,2808,0.9779,0.0698,15.23
6,3276,0.9784,0.0664,17.82
7,3744,0.9787,0.0686,20.05
8,4212,0.9759,0.0737,22.53
9,4680,0.9805,0.067,25.04
10,5148,0.9798,0.0674,27.48
11,5616,0.9809,0.0627,29.98
12,6084,0.9808,0.069,32.47
13,6552,0.9799,0.0751,34.98
14,7020,0.9829,0.0608,37.48
15,7488,0.9827,0.0646,39.63
16,7956,0.9829,0.0638,42.19
17,8424,0.983,0.0644,44.77
18,8892,0.9833,0.0644,47.27
19,9360,0.9834,0.0648,49.72
20,9828,0.9834,0.0645,52.29
21,10296,0.9829,0.0649,54.8
22,10764,0.9832,0.066,57.22
23,11232,0.9831,0.0662,59.41
24,11700,0.9836,0.0655,61.87
25,12168,0.9833,0.0659,64.32
26,12636,0.9832,0.0661,66.81
27,13104,0.9829,0.0659,69.31
28,13572,0.983,0.0658,71.76
29,14040,0.9831,0.066,74.27
