epoch,step,test_acc,test_loss,wall_s
0,468,0.9158,0.3147,0.94
1,936,0.9269,0.2619,1.7
2,1404,0.9323,0.2416,2.47
3,1872,0.9331,0.2333,3.24
4,2340,0.9368,0.2226,4.03
5,2808,0.9411,0.2119,4.82
6,3276,0.9419,0.2055,5.6
7,3744,0.944,0.202,6.36
8,4212,0.9437,0.2,7.12
9,4680,0.9454,0.1979,7.9
10,5148,0.9457,0.197,8.68
11,5616,0.9464,0.1936,9.45
12,6084,0.9471,0.1907,10.22
13,6552,0.9468,0.192,10.99
14,7020,0.9464,0.1914,11.73
15,7488,0.948,0.1883,12.49
16,7956,0.9475,0.1877,13.27
17,8424,0.9475,0.1872,14.07
18,8892,0.9491,0.1856,14.85
19,9360,0.9472,0.1853,15.62
20,9828,0.9477,0.1853,16.38
21,10296,0.9487,0.1848,17.17
22,10764,0.9476,0.1846,17.95
23,11232,0.9482,0.1846,18.72
24,11700,0.9476,0.1839,19.49
25,12168,0.9484,0.1838,20.24
26,12636,0.9483,0.1837,21.04
27,13104,0.9488,0.1837,21.79
28,13572,0.9486,0.1837,22.57
29,14040,0.9486,0.1837,23.35
