epoch,step,test_acc,test_loss,wall_s
0,468,0.267,2.3868,3.08
1,936,0.1929,2.6543,5.73
2,1404,0.2039,4.2464,8.39
3,1872,0.1902,5.8239,10.63
4,2340,0.1718,2.02,13.29
5,2808,0.2169,8.8193,15.94
6,3276,0.1141,11.5875,18.48
7,3744,0.259,3.5248,21.19
8,4212,0.2448,2.1025,23.8
9,4680,0.231,2.9521,26.47
10,5148,0.2986,3.3022,29.12
11,5616,0.1613,4.0315,31.22
12,6084,0.3077,2.5965,33.88
13,6552,0.1857,6.3059,36.53
14,7020,0.2511,6.0227,39.13
15,7488,0.2154,2.2995,41.8
16,7956,0.2315,5.5968,44.44
17,8424,0.305,3.4764,47.06
18,8892,0.3341,2.5391,49.66
19,9360,0.2669,3.4377,50.81
20,9828,0.3158,2.4372,51.83
21,10296,0.3896,1.8553,53.61
22,10764,0.3164,2.3985,55.61
23,11232,0.3597,2.3258,57.6
24,11700,0.2745,4.081,59.56
25,12168,0.3326,3.2956,61.6
26,12636,0.319,2.3861,63.6
27,13104,0.3235,2.164,65.52
28,13572,0.3425,2.5941,67.49
29,14040,0.3472,2.0845,69.48
