epoch,step,test_acc,test_loss,wall_s
0,468,0.3383,2.467,0.98
1,936,0.325,1.8419,1.79
2,1404,0.2376,3.0569,2.59
3,1872,0.4193,1.6978,3.44
4,2340,0.4259,2.1112,4.24
5,2808,0.4063,1.701,5.1
6,3276,0.3237,2.7175,5.94
7,3744,0.3661,2.3968,6.75
8,4212,0.3949,3.3293,7.57
9,4680,0.3626,2.2559,8.42
10,5148,0.3553,1.9548,9.25
11,5616,0.445,2.1783,10.04
12,6084,0.3374,4.1547,10.86
13,6552,0.3707,2.2938,11.7
14,7020,0.4296,1.914,12.51
15,7488,0.471,1.7257,13.34
16,7956,0.4485,1.7232,14.18
17,8424,0.5215,1.9165,15.0
18,8892,0.4079,2.2494,15.82
19,9360,0.5234,1.5145,16.65
20,9828,0.544,1.6418,17.46
21,10296,0.5073,1.442,18.26
22,10764,0.4295,1.6787,19.1
23,11232,0.5417,1.2835,19.91
24,11700,0.4161,1.7349,20.73
25,12168,0.5332,1.3435,21.54
26,12636,0.4692,1.4193,22.34
27,13104,0.541,1.3477,23.13
28,13572,0.5355,1.3354,23.96
29,14040,0.5469,1.2805,24.78
