epoch,step,test_acc,test_loss,wall_s
0,390,0.3684,1.7731,0.76
1,780,0.3176,1.8768,1.3
2,1170,0.3291,1.8782,1.83
3,1560,0.3146,1.8676,2.37
4,1950,0.3411,1.8821,2.93
5,2340,0.3204,1.9417,3.54
6,2730,0.3189,1.8793,4.11
7,3120,0.3314,1.8777,4.71
8,3510,0.3148,1.9945,5.3
9,3900,0.342,1.8965,5.89
10,4290,0.3359,1.8948,6.47
11,4680,0.3375,1.8533,7.03
12,5070,0.3369,1.8865,7.57
13,5460,0.3582,1.8619,8.15
14,5850,0.3726,1.8414,8.69
15,6240,0.3662,1.8396,9.26
16,6630,0.3823,1.7919,9.8
17,7020,0.388,1.9223,10.33
18,7410,0.4205,1.8386,10.88
19,7800,0.3934,1.8931,11.46
20,8190,0.4186,1.7996,12.05
21,8580,0.4175,1.8086,12.6
22,8970,0.4477,1.8884,13.17
23,9360,0.434,1.9511,13.74
24,9750,0.4627,1.9027,14.29
25,10140,0.4864,1.9101,14.83
26,10530,0.476,1.9075,15.4
27,10920,0.4842,1.98,15.99
28,11310,0.4897,1.9852,16.53
29,11700,0.5019,2.0856,17.1
30,12090,0.5112,2.0648,17.66
31,12480,0.5189,2.1406,18.21
32,12870,0.5183,2.1782,18.76
33,13260,0.5179,2.213,19.37
34,13650,0.5191,2.2617,19.94
35,14040,0.5221,2.2791,20.49
36,14430,0.522,2.3042,21.02
37,14820,0.5241,2.316,21.61
38,15210,0.5255,2.3246,22.17
39,15600,0.5258,2.3258,22.72
