epoch,step,test_acc,test_loss,wall_s
0,390,0.1436,207.1158,2.49
1,780,0.1696,58.3348,4.59
2,1170,0.1982,62.6592,6.69
3,1560,0.1641,70.4066,8.81
4,1950,0.1481,89.5154,10.92
5,2340,0.1503,100.2633,13.06
6,2730,0.1038,58.8971,15.18
7,3120,0.2157,27.8869,16.96
8,3510,0.1666,45.6074,19.11
9,3900,0.185,52.3794,21.22
10,4290,0.1638,65.8018,23.32
11,4680,0.1622,44.4129,25.43
12,5070,0.1308,72.1194,27.48
13,5460,0.1428,62.0032,29.53
14,5850,0.1619,59.5938,31.58
15,6240,0.2198,38.8908,33.69
16,6630,0.1591,41.7414,35.74
17,7020,0.205,57.1434,37.75
18,7410,0.2114,60.4857,39.85
19,7800,0.1721,74.7942,41.89
20,8190,0.1602,85.4427,43.94
21,8580,0.1655,96.4223,46.05
22,8970,0.1517,90.6048,48.1
23,9360,0.1517,87.987,50.21
24,9750,0.1699,99.0236,52.32
25,10140,0.1591,140.8693,54.37
26,10530,0.2038,127.9183,56.28
27,10920,0.1697,119.1195,58.38
28,11310,0.2034,100.0067,60.43
29,11700,0.1911,118.4773,62.59
30,12090,0.1719,73.7276,64.7
31,12480,0.1736,96.3036,66.75
32,12870,0.2162,65.5418,68.92
33,13260,0.2132,38.9345,71.03
34,13650,0.2576,34.8032,73.14
35,14040,0.239,39.3977,75.24
36,14430,0.2423,35.9253,76.92
37,14820,0.251,31.004,79.03
38,15210,0.252,26.1584,81.13
39,15600,0.136,30.5939,83.25
