epoch,step,test_acc,test_loss,wall_s
0,390,0.3555,1.8256,0.99
1,780,0.4027,1.6826,1.78
2,1170,0.4272,1.6262,2.49
3,1560,0.4584,1.5328,3.21
4,1950,0.4567,1.5469,3.92
5,2340,0.461,1.5335,4.66
6,2730,0.4922,1.4558,5.38
7,3120,0.4763,1.4939,6.09
8,3510,0.4961,1.4653,6.82
9,3900,0.4921,1.4758,7.53
10,4290,0.4991,1.4393,8.24
11,4680,0.507,1.4176,8.96
12,5070,0.5076,1.4135,9.69
13,5460,0.5206,1.3915,10.42
14,5850,0.5124,1.4186,11.15
15,6240,0.5142,1.4182,11.87
16,6630,0.504,1.427,12.58
17,7020,0.5206,1.3839,13.32
18,7410,0.5267,1.3754,14.04
19,7800,0.5289,1.3702,14.76
20,8190,0.5245,1.3775,15.46
21,8580,0.5266,1.3771,16.2
22,8970,0.5266,1.3904,16.95
23,9360,0.5218,1.3866,17.67
24,9750,0.5281,1.3696,18.44
25,10140,0.5297,1.3757,19.18
26,10530,0.5265,1.3805,19.89
27,10920,0.5285,1.3804,20.63
28,11310,0.5314,1.3847,21.33
29,11700,0.526,1.3862,22.05
30,12090,0.5316,1.3721,22.76
31,12480,0.5317,1.3631,23.5
32,12870,0.5322,1.3658,24.25
33,13260,0.5301,1.3645,24.96
34,13650,0.5352,1.3625,25.69
35,14040,0.5298,1.3673,26.43
36,14430,0.5344,1.3618,27.19
37,14820,0.5326,1.3603,27.92
38,15210,0.5333,1.3601,28.66
39,15600,0.5344,1.3602,29.36
