epoch,step,test_acc,test_loss,wall_s
0,390,0.4614,1.5259,1.05
1,780,0.4971,1.4377,1.83
2,1170,0.5014,1.421,2.67
3,1560,0.5177,1.372,3.46
4,1950,0.5219,1.3668,4.29
5,2340,0.5232,1.3669,5.12
6,2730,0.5236,1.3573,5.93
7,3120,0.5291,1.3437,6.74
8,3510,0.531,1.3453,7.56
9,3900,0.5331,1.3369,8.38
10,4290,0.5409,1.3385,9.19
11,4680,0.5402,1.3499,9.98
12,5070,0.5424,1.3544,10.78
13,5460,0.5466,1.349,11.58
14,5850,0.5489,1.3393,12.36
15,6240,0.5516,1.3619,13.14
16,6630,0.5419,1.3951,13.94
17,7020,0.5409,1.3973,14.78
18,7410,0.5485,1.4176,15.56
19,7800,0.544,1.4148,16.38
20,8190,0.5466,1.4396,17.18
21,8580,0.5437,1.4402,17.99
22,8970,0.5458,1.4393,18.81
23,9360,0.5459,1.4508,19.62
24,9750,0.5474,1.4497,20.41
25,10140,0.5503,1.4364,21.2
26,10530,0.5453,1.4691,22.0
27,10920,0.5534,1.4562,22.77
28,11310,0.5512,1.4758,23.58
29,11700,0.5517,1.4666,24.35
30,12090,0.5543,1.4605,25.15
31,12480,0.5557,1.4649,25.96
32,12870,0.5535,1.468,26.75
33,13260,0.5554,1.4666,27.55
34,13650,0.5539,1.4671,28.35
35,14040,0.5561,1.4659,29.13
36,14430,0.5566,1.4647,29.92
37,14820,0.5577,1.4667,30.72
38,15210,0.5568,1.4625,31.51
39,15600,0.5572,1.4635,32.31
