epoch,step,test_acc,test_loss,wall_s
0,390,0.4489,1.5537,2.09
1,780,0.4862,1.4477,3.79
2,1170,0.4969,1.4249,5.47
3,1560,0.5172,1.3764,7.19
4,1950,0.5202,1.3638,8.93
5,2340,0.5279,1.3664,10.66
6,2730,0.5171,1.4008,12.37
7,3120,0.5234,1.3949,14.07
8,3510,0.5263,1.4287,15.79
9,3900,0.542,1.3987,17.45
10,4290,0.5415,1.4321,19.15
11,4680,0.5316,1.51,20.86
12,5070,0.5349,1.5693,22.59
13,5460,0.5295,1.6224,24.39
14,5850,0.5333,1.6463,26.12
15,6240,0.5383,1.6784,27.8
16,6630,0.5394,1.7392,29.44
17,7020,0.5287,1.8531,31.16
18,7410,0.5406,1.8621,32.87
19,7800,0.5351,1.9709,34.63
20,8190,0.5425,2.0209,36.35
21,8580,0.552,2.0626,38.09
22,8970,0.5401,2.2042,39.88
23,9360,0.5454,2.2556,41.5
24,9750,0.5491,2.3713,43.24
25,10140,0.5579,2.4184,44.96
26,10530,0.5473,2.5073,46.71
27,10920,0.5573,2.553,48.44
28,11310,0.5561,2.6276,50.13
29,11700,0.5613,2.6866,51.93
30,12090,0.562,2.7233,53.67
31,12480,0.5608,2.7648,55.48
32,12870,0.5608,2.7875,57.25
33,13260,0.5608,2.804,59.06
34,13650,0.5611,2.8102,60.88
35,14040,0.5613,2.8281,62.65
36,14430,0.5624,2.8331,64.37
37,14820,0.56,2.8327,66.11
38,15210,0.5627,2.8411,67.83
39,15600,0.5618,2.8428,69.54
