epoch,step,test_acc,test_loss,wall_s
0,390,0.4182,1.6672,0.67
1,780,0.4233,1.623,1.17
2,1170,0.4356,1.6085,1.66
3,1560,0.4369,1.5959,2.13
4,1950,0.4435,1.5832,2.6
5,2340,0.4475,1.5785,3.09
6,2730,0.4487,1.5717,3.58
7,3120,0.452,1.5673,4.09
8,3510,0.4451,1.5765,4.59
9,3900,0.4493,1.5672,5.06
10,4290,0.4414,1.5784,5.54
11,4680,0.4457,1.5649,6.06
12,5070,0.4528,1.5574,6.56
13,5460,0.4574,1.556,7.03
14,5850,0.4447,1.5653,7.52
15,6240,0.4492,1.5518,8.01
16,6630,0.4496,1.5555,8.5
17,7020,0.4566,1.5553,8.99
18,7410,0.4556,1.5577,9.49
19,7800,0.4523,1.5551,9.97
20,8190,0.4587,1.5449,10.46
21,8580,0.4552,1.5464,10.95
22,8970,0.4607,1.5489,11.45
23,9360,0.4558,1.5421,11.96
24,9750,0.4564,1.5472,12.44
25,10140,0.4604,1.5432,12.92
26,10530,0.4469,1.5488,13.41
27,10920,0.4526,1.5464,13.9
28,11310,0.4558,1.5413,14.41
29,11700,0.4562,1.5404,14.9
30,12090,0.4558,1.5436,15.39
31,12480,0.459,1.5405,15.89
32,12870,0.4593,1.5411,16.38
33,13260,0.4582,1.5412,16.86
34,13650,0.457,1.5416,17.36
35,14040,0.4557,1.5401,17.84
36,14430,0.4561,1.5396,18.33
37,14820,0.4584,1.5394,18.83
38,15210,0.4591,1.5393,19.33
39,15600,0.4581,1.5393,19.83
