epoch,step,test_acc,test_loss,wall_s
0,390,0.1732,2.9199,1.04
1,780,0.1908,2.4878,1.85
2,1170,0.2486,2.2508,2.65
3,1560,0.198,2.9281,3.46
4,1950,0.2171,2.9727,4.27
5,2340,0.1987,2.9416,5.09
6,2730,0.204,2.7003,5.95
7,3120,0.2409,2.1082,6.79
8,3510,0.2277,2.5177,7.61
9,3900,0.2212,2.5108,8.41
10,4290,0.2203,2.7851,9.24
11,4680,0.2271,2.3976,10.13
12,5070,0.2438,2.1671,10.99
13,5460,0.2348,2.2372,11.84
14,5850,0.2388,2.1834,12.67
15,6240,0.2544,2.2872,13.49
16,6630,0.2114,3.0361,14.31
17,7020,0.2307,2.5522,15.13
18,7410,0.2489,2.345,16.0
19,7800,0.2506,2.2499,16.82
20,8190,0.203,2.4178,17.64
21,8580,0.2392,4.91,18.5
22,8970,0.2221,2.7248,19.37
23,9360,0.2429,2.3747,20.2
24,9750,0.273,2.3653,21.02
25,10140,0.2532,2.2937,21.82
26,10530,0.2567,2.711,22.67
27,10920,0.2761,2.2397,23.53
28,11310,0.2849,2.4529,24.37
29,11700,0.2204,2.443,25.17
30,12090,0.2664,2.1586,26.02
31,12480,0.2743,2.2363,26.84
32,12870,0.2884,2.331,27.72
33,13260,0.2775,2.1706,28.56
34,13650,0.286,2.1505,29.38
35,14040,0.3139,2.0101,30.19
36,14430,0.2854,2.255,31.02
37,14820,0.2853,2.2757,31.83
38,15210,0.3066,2.1394,32.68
39,15600,0.3011,2.1871,33.48
