epoch,step,test_acc,test_loss,wall_s
0,390,0.1352,2.4304,2.26
1,780,0.0925,2.3801,4.17
2,1170,0.1564,2.374,6.05
3,1560,0.1933,2.7383,7.95
4,1950,0.1728,2.4678,9.87
5,2340,0.1678,2.2201,11.64
6,2730,0.165,2.1998,13.52
7,3120,0.1324,2.9247,15.42
8,3510,0.1745,2.3326,17.32
9,3900,0.1676,2.4485,19.25
10,4290,0.1776,2.3777,21.17
11,4680,0.1816,2.2343,23.09
12,5070,0.1519,2.3141,24.95
13,5460,0.2014,2.242,26.84
14,5850,0.1625,2.3095,28.73
15,6240,0.1514,3.0108,30.63
16,6630,0.1605,2.3685,32.52
17,7020,0.197,2.2119,34.51
18,7410,0.1679,2.2052,36.41
19,7800,0.2144,2.1487,38.28
20,8190,0.1669,2.5038,40.14
21,8580,0.1797,2.6586,42.04
22,8970,0.191,2.1863,43.94
23,9360,0.1739,2.235,45.8
24,9750,0.1735,2.9798,47.72
25,10140,0.1974,2.1266,49.62
26,10530,0.1856,2.196,51.53
27,10920,0.1637,2.4237,53.27
28,11310,0.1796,2.5029,55.19
29,11700,0.1925,2.35,57.12
30,12090,0.2042,2.2619,59.05
31,12480,0.1581,2.2971,60.96
32,12870,0.1823,2.3599,62.9
33,13260,0.1736,2.4614,64.85
34,13650,0.2273,2.2101,66.58
35,14040,0.17,2.441,68.49
36,14430,0.2309,2.1749,70.39
37,14820,0.1714,2.2242,72.32
38,15210,0.2058,2.19,74.18
39,15600,0.189,2.4218,76.08
