epoch,step,full_steps,bp_flops,train_loss_ema,test_acc,test_loss,wall_s
0,468,0,32020365312,0.56703,0.8469,0.5034,0.92
1,936,50,74179149824,0.23241,0.9373,0.2007,1.74
2,1404,107,117757313024,0.16194,0.9321,0.2175,2.53
3,1872,200,168635138048,0.14059,0.9598,0.131,3.31
4,2340,250,210793922560,0.1298,0.9621,0.1262,4.11
5,2808,250,242814287872,0.09421,0.9669,0.1072,4.91
6,3276,300,284973072384,0.11139,0.965,0.1077,5.69
7,3744,300,316993437696,0.08251,0.9687,0.0977,6.48
8,4212,300,349013803008,0.08342,0.9702,0.0908,7.27
9,4680,300,381034168320,0.06982,0.9709,0.0909,8.05
10,5148,350,423192952832,0.08738,0.9701,0.0938,8.84
11,5616,350,455213318144,0.07308,0.9712,0.091,9.63
12,6084,350,487233683456,0.07145,0.9705,0.0926,10.43
13,6552,350,519254048768,0.06538,0.9739,0.086,11.22
14,7020,400,561412833280,0.10834,0.9652,0.1147,12.01
15,7488,400,593433198592,0.07752,0.9692,0.0952,12.8
16,7956,400,625453563904,0.07507,0.9711,0.0902,13.59
17,8424,400,657473929216,0.06857,0.9712,0.0868,14.39
18,8892,400,689494294528,0.06624,0.9738,0.086,15.17
19,9360,450,731653079040,0.07523,0.9724,0.0882,15.98
