epoch,step,full_steps,bp_flops,train_loss_ema,test_acc,test_loss,wall_s
0,468,468,142926151680,0.15561,0.962,0.131,0.91
1,936,936,285852303360,0.09287,0.9689,0.0996,1.7
2,1404,1404,428778455040,0.07282,0.9756,0.0829,2.51
3,1872,1872,571704606720,0.05416,0.9784,0.0725,3.31
4,2340,2340,714630758400,0.0324,0.9816,0.0696,4.1
5,2808,2808,857556910080,0.03219,0.9796,0.0748,4.91
6,3276,3276,1000483061760,0.02901,0.9776,0.0872,5.69
7,3744,3744,1143409213440,0.01963,0.9815,0.0682,6.48
8,4212,4212,1286335365120,0.01364,0.98,0.0899,7.27
9,4680,4680,1429261516800,0.01384,0.983,0.0831,8.07
10,5148,5148,1572187668480,0.01103,0.9817,0.0837,8.85
11,5616,5616,1715113820160,0.00899,0.9831,0.0835,9.66
12,6084,6084,1858039971840,0.01327,0.9808,0.0983,10.47
13,6552,6552,2000966123520,0.00822,0.9847,0.0697,11.29
14,7020,7020,2143892275200,0.00353,0.9821,0.0898,12.08
15,7488,7488,2286818426880,0.00817,0.9847,0.0857,12.88
16,7956,7956,2429744578560,0.00559,0.9845,0.084,13.67
17,8424,8424,2572670730240,0.00817,0.9843,0.0863,14.47
18,8892,8892,2715596881920,0.00587,0.9838,0.0837,15.25
19,9360,9360,2858523033600,0.00413,0.9846,0.0864,16.05
