epoch,step,full_steps,bp_flops,train_loss_ema,test_acc,test_loss,wall_s
0,468,0,32020365312,0.53206,0.8614,0.4815,0.91
1,936,50,75889639424,0.32676,0.9318,0.2249,1.69
2,1404,100,119758913536,0.20228,0.9465,0.167,2.48
3,1872,150,163628187648,0.14783,0.9538,0.146,3.27
4,2340,200,207497461760,0.11839,0.9598,0.1335,4.06
5,2808,250,251366735872,0.10998,0.9638,0.1161,4.83
6,3276,250,283387101184,0.10064,0.968,0.1058,5.61
7,3744,300,327256375296,0.09156,0.9662,0.1101,6.42
8,4212,300,359276740608,0.08624,0.9694,0.1035,7.22
9,4680,300,391297105920,0.07988,0.9691,0.0997,7.99
10,5148,350,435166380032,0.1273,0.958,0.1407,8.8
11,5616,350,467186745344,0.08407,0.9698,0.0954,9.58
12,6084,350,499207110656,0.07967,0.9696,0.0929,10.35
13,6552,350,531227475968,0.07071,0.9699,0.0907,11.12
14,7020,350,563247841280,0.07273,0.9698,0.0897,11.9
15,7488,400,607117115392,0.09224,0.97,0.0978,12.69
16,7956,400,639137480704,0.07472,0.9712,0.0917,13.47
17,8424,400,671157846016,0.07256,0.9735,0.0886,14.23
18,8892,400,703178211328,0.05765,0.9734,0.0852,15.01
19,9360,450,747047485440,0.12246,0.96,0.14,15.81
