epoch,step,full_steps,bp_flops,train_loss_ema,test_acc,test_loss,wall_s
0,468,0,32020365312,0.53206,0.8614,0.4815,0.9
1,936,50,75889639424,0.32676,0.9318,0.2249,1.71
2,1404,100,119758913536,0.20228,0.9465,0.167,2.51
3,1872,150,163628187648,0.14783,0.9538,0.146,3.3
4,2340,200,207497461760,0.12523,0.9605,0.135,4.09
5,2808,250,251366735872,0.11773,0.9603,0.1291,4.9
6,3276,250,283387101184,0.09669,0.9667,0.1123,5.69
7,3744,300,327256375296,0.11239,0.9608,0.1236,6.48
8,4212,300,359276740608,0.09088,0.9676,0.1042,7.25
9,4680,300,391297105920,0.08162,0.9691,0.1014,8.08
10,5148,300,423317471232,0.08077,0.9694,0.0988,8.89
11,5616,350,467186745344,0.09681,0.9673,0.1065,9.69
12,6084,350,499207110656,0.08939,0.9684,0.1025,10.48
13,6552,350,531227475968,0.07384,0.9683,0.0985,11.26
14,7020,350,563247841280,0.07615,0.9708,0.096,12.07
15,7488,400,607117115392,0.1202,0.9635,0.1214,12.88
16,7956,400,639137480704,0.08087,0.9713,0.0982,13.67
17,8424,400,671157846016,0.07941,0.9702,0.0959,14.44
18,8892,400,703178211328,0.06079,0.972,0.0903,15.23
19,9360,400,735198576640,0.0665,0.9718,0.0907,16.03
