epoch,step,full_steps,bp_flops,train_loss_ema,test_acc,test_loss,wall_s
0,468,234,87473258496,0.20539,0.9418,0.1868,0.91
1,936,468,174946516992,0.13299,0.9629,0.1221,1.7
2,1404,702,262419775488,0.09828,0.966,0.1107,2.49
3,1872,936,349893033984,0.08624,0.9655,0.1137,3.3
4,2340,1170,437366292480,0.06536,0.9722,0.1,4.12
5,2808,1404,524839550976,0.05664,0.9769,0.0766,4.93
6,3276,1638,612312809472,0.05088,0.9777,0.0758,5.75
7,3744,1872,699786067968,0.03945,0.9758,0.0829,6.58
8,4212,2106,787259326464,0.04041,0.9751,0.0853,7.38
9,4680,2340,874732584960,0.03415,0.9783,0.0808,8.19
10,5148,2574,962205843456,0.03181,0.9802,0.0737,8.99
11,5616,2808,1049679101952,0.02802,0.9819,0.0752,9.78
12,6084,3042,1137152360448,0.02551,0.978,0.089,10.58
13,6552,3276,1224625618944,0.01893,0.9813,0.0816,11.42
14,7020,3510,1312098877440,0.01897,0.9785,0.0901,12.22
15,7488,3744,1399572135936,0.01982,0.9797,0.0797,13.02
16,7956,3978,1487045394432,0.01886,0.9831,0.0791,13.79
17,8424,4212,1574518652928,0.01855,0.983,0.0696,14.58
18,8892,4446,1661991911424,0.0155,0.9832,0.0775,15.38
19,9360,4680,1749465169920,0.01763,0.9798,0.0952,16.18
