epoch,step,full_steps,bp_flops,train_loss_ema,test_acc,test_loss,wall_s
0,468,47,43158339584,0.556,0.8492,0.4913,0.92
1,936,94,86316679168,0.33532,0.8939,0.3435,1.7
2,1404,141,129475018752,0.30064,0.9209,0.2457,2.5
3,1872,188,172633358336,0.25632,0.8942,0.3494,3.34
4,2340,234,215554719744,0.26462,0.9255,0.2325,4.17
5,2808,281,258713059328,0.18525,0.9408,0.1904,4.96
6,3276,328,301871398912,0.20004,0.9405,0.193,5.76
7,3744,375,345029738496,0.17166,0.947,0.1709,6.54
8,4212,422,388188078080,0.14118,0.9592,0.1363,7.35
9,4680,468,431109439488,0.16305,0.9447,0.1714,8.17
10,5148,515,474267779072,0.13064,0.9598,0.1311,8.96
11,5616,562,517426118656,0.18841,0.9024,0.284,9.79
12,6084,609,560584458240,0.14371,0.9536,0.1456,10.6
13,6552,656,603742797824,0.12536,0.9581,0.1392,11.41
14,7020,702,646664159232,0.10307,0.9653,0.117,12.23
15,7488,749,689822498816,0.11462,0.9646,0.1214,13.04
16,7956,796,732980838400,0.1025,0.967,0.1073,13.85
17,8424,843,776139177984,0.08546,0.9669,0.1083,14.67
18,8892,890,819297517568,0.1015,0.9612,0.125,15.49
19,9360,936,862218878976,0.07985,0.9679,0.1022,16.3
