epoch,step,full_steps,bp_flops,train_loss_ema,test_acc,test_loss,wall_s
0,468,312,126895521792,0.14586,0.9624,0.1186,0.92
1,936,312,200791818240,0.08644,0.967,0.1011,1.72
2,1404,312,232812183552,0.07526,0.97,0.0959,2.54
3,1872,312,264832548864,0.07602,0.9706,0.0916,3.33
4,2340,312,296852914176,0.06572,0.9708,0.0909,4.15
5,2808,312,328873279488,0.06495,0.9708,0.0901,4.96
6,3276,312,360893644800,0.06347,0.9712,0.092,5.79
7,3744,312,392914010112,0.06175,0.9703,0.0905,6.6
8,4212,312,424934375424,0.06498,0.9712,0.0886,7.46
9,4680,312,456954740736,0.06892,0.9698,0.0909,8.28
10,5148,312,488975106048,0.0622,0.9704,0.0899,9.11
11,5616,312,520995471360,0.06038,0.9723,0.0864,9.9
12,6084,312,553015836672,0.05415,0.9725,0.0872,10.71
13,6552,312,585036201984,0.06447,0.9707,0.0888,11.51
14,7020,312,617056567296,0.05868,0.9724,0.0858,12.34
15,7488,312,649076932608,0.05158,0.9716,0.0891,13.15
16,7956,312,681097297920,0.05812,0.9724,0.0851,13.96
17,8424,312,713117663232,0.058,0.9712,0.0869,14.78
18,8892,312,745138028544,0.05619,0.9719,0.0857,15.6
19,9360,312,777158393856,0.05495,0.9708,0.0904,16.44
