epoch,step,full_steps,bp_flops,train_loss_ema,test_acc,test_loss,wall_s
0,390,41,47292743680,1.8992,0.3335,1.8092,0.78
1,780,133,120221204480,1.63812,0.4139,1.6321,1.45
2,1170,200,180583137280,1.53084,0.4555,1.5093,2.14
3,1560,215,214806691840,1.48112,0.4089,1.6566,2.78
4,1950,250,259083468800,1.44169,0.4767,1.4583,3.43
5,2340,250,285767106560,1.39367,0.4875,1.4504,4.13
6,2730,300,337583800320,1.4277,0.4876,1.436,4.84
7,3120,300,364267438080,1.36858,0.4907,1.4337,5.5
8,3510,300,390951075840,1.34058,0.5003,1.4121,6.15
9,3900,300,417634713600,1.34528,0.4964,1.4103,6.78
10,4290,350,469451407360,1.43047,0.4911,1.4358,7.45
11,4680,350,496135045120,1.35138,0.4971,1.419,8.16
12,5070,350,522818682880,1.33478,0.4924,1.4359,8.83
13,5460,350,549502320640,1.33281,0.4941,1.4287,9.48
14,5850,350,576185958400,1.31423,0.5071,1.4095,10.18
15,6240,350,602869596160,1.29604,0.5018,1.4237,10.86
16,6630,400,654686289920,1.37421,0.4888,1.4189,11.54
17,7020,400,681369927680,1.33828,0.4935,1.4327,12.2
18,7410,400,708053565440,1.32739,0.4963,1.4151,12.85
19,7800,400,734737203200,1.30069,0.5012,1.4141,13.56
20,8190,400,761420840960,1.29354,0.4978,1.4095,14.24
21,8580,450,813237534720,1.37842,0.4915,1.4305,14.92
22,8970,450,839921172480,1.30759,0.4842,1.4601,15.59
23,9360,450,866604810240,1.2932,0.498,1.4144,16.27
24,9750,450,893288448000,1.2803,0.5038,1.3975,16.92
25,10140,450,919972085760,1.28622,0.5049,1.4036,17.59
26,10530,500,971788779520,1.38898,0.4806,1.4749,18.25
27,10920,500,998472417280,1.30972,0.4963,1.4334,18.9
28,11310,500,1025156055040,1.31077,0.4929,1.4431,19.54
29,11700,500,1051839692800,1.28405,0.5052,1.4108,20.2
