epoch,step,full_steps,bp_flops,train_loss_ema,test_acc,test_loss,wall_s
0,390,0,26683637760,1.91742,0.3277,1.8693,0.79
1,780,0,53367275520,1.79293,0.3646,1.7838,1.44
2,1170,0,80050913280,1.74693,0.3851,1.7174,2.13
3,1560,0,106734551040,1.71649,0.3949,1.6965,2.79
4,1950,0,133418188800,1.68392,0.4051,1.6681,3.45
5,2340,0,160101826560,1.67111,0.4043,1.6634,4.09
6,2730,0,186785464320,1.65036,0.4163,1.637,4.78
7,3120,0,213469102080,1.62429,0.409,1.6448,5.49
8,3510,0,240152739840,1.59652,0.4243,1.618,6.18
9,3900,0,266836377600,1.58641,0.4208,1.6186,6.84
10,4290,0,293520015360,1.58557,0.4294,1.5998,7.51
11,4680,0,320203653120,1.55044,0.4287,1.5886,8.19
12,5070,0,346887290880,1.53448,0.4337,1.5896,8.88
13,5460,0,373570928640,1.52405,0.4328,1.5886,9.53
14,5850,0,400254566400,1.50072,0.4329,1.5754,10.22
15,6240,0,426938204160,1.49049,0.4329,1.5883,10.91
16,6630,0,453621841920,1.4779,0.4476,1.5481,11.58
17,7020,0,480305479680,1.46611,0.4541,1.5529,12.24
18,7410,0,506989117440,1.46217,0.448,1.5572,12.9
19,7800,0,533672755200,1.43562,0.4511,1.5375,13.58
20,8190,0,560356392960,1.42261,0.447,1.5483,14.27
21,8580,0,587040030720,1.42698,0.4474,1.5446,14.92
22,8970,0,613723668480,1.39678,0.4504,1.5533,15.56
23,9360,0,640407306240,1.38446,0.4462,1.5519,16.23
24,9750,0,667090944000,1.36706,0.4553,1.5387,16.92
25,10140,0,693774581760,1.36512,0.4519,1.5367,17.6
26,10530,0,720458219520,1.3453,0.4488,1.5474,18.29
27,10920,0,747141857280,1.33964,0.4548,1.5443,18.95
28,11310,0,773825495040,1.33812,0.4577,1.5332,19.65
29,11700,0,800509132800,1.30902,0.4603,1.5171,20.33
