epoch,step,full_steps,bp_flops,train_loss_ema,test_acc,test_loss,wall_s
0,390,390,236063293440,1.56037,0.4578,1.5211,1.32
1,780,526,335761375232,1.39195,0.5018,1.3897,2.36
2,1170,526,362445012992,1.30161,0.5027,1.3967,3.37
3,1560,526,389128650752,1.29607,0.5037,1.4044,4.39
4,1950,526,415812288512,1.26677,0.5154,1.3687,5.59
5,2340,526,442495926272,1.2563,0.5177,1.3846,6.86
6,2730,526,469179564032,1.25062,0.52,1.3628,8.03
7,3120,526,495863201792,1.23055,0.5172,1.361,8.94
8,3510,526,522546839552,1.2315,0.5215,1.3598,9.95
9,3900,526,549230477312,1.21847,0.5176,1.3891,11.0
10,4290,526,575914115072,1.21355,0.5229,1.3515,12.07
11,4680,526,602597752832,1.17289,0.5291,1.3629,13.1
12,5070,526,629281390592,1.17734,0.5254,1.3783,14.04
13,5460,526,655965028352,1.16423,0.5173,1.3742,14.97
14,5850,526,682648666112,1.17018,0.5238,1.3732,15.99
15,6240,526,709332303872,1.1552,0.518,1.3885,17.3
16,6630,526,736015941632,1.12436,0.5222,1.3746,18.6
17,7020,526,762699579392,1.13029,0.5245,1.3885,19.74
18,7410,526,789383217152,1.12582,0.5192,1.3764,20.78
19,7800,526,816066854912,1.10814,0.5153,1.4094,21.76
20,8190,526,842750492672,1.08264,0.515,1.4118,22.69
21,8580,526,869434130432,1.06003,0.5221,1.4153,23.74
22,8970,526,896117768192,1.06587,0.5096,1.4291,24.69
23,9360,526,922801405952,1.06411,0.5189,1.4285,25.64
24,9750,526,949485043712,1.03354,0.5228,1.4266,26.61
25,10140,526,976168681472,1.02133,0.5108,1.456,27.61
26,10530,526,1002852319232,1.00742,0.5185,1.4419,28.61
27,10920,526,1029535956992,0.97881,0.516,1.4661,29.7
28,11310,526,1056219594752,0.96304,0.5121,1.4719,30.66
29,11700,526,1082903232512,0.95704,0.5153,1.4665,31.64
