epoch,step,full_steps,bp_flops,train_loss_ema,test_acc,test_loss,wall_s
0,390,390,236063293440,1.57106,0.461,1.5163,0.82
1,780,780,472126586880,1.43228,0.4834,1.4552,1.54
2,1170,1170,708189880320,1.3112,0.4954,1.4111,2.23
3,1560,1560,944253173760,1.22456,0.5296,1.3263,2.93
4,1950,1950,1180316467200,1.1258,0.542,1.3166,3.64
5,2340,2340,1416379760640,1.03985,0.5346,1.3747,4.34
6,2730,2730,1652443054080,0.97065,0.545,1.3401,5.02
7,3120,3120,1888506347520,0.86261,0.5456,1.41,5.74
8,3510,3510,2124569640960,0.77647,0.541,1.4523,6.44
9,3900,3900,2360632934400,0.69551,0.5499,1.4994,7.12
10,4290,4290,2596696227840,0.60946,0.5459,1.6188,7.82
11,4680,4680,2832759521280,0.5418,0.5457,1.6657,8.5
12,5070,5070,3068822814720,0.48103,0.5529,1.7903,9.19
13,5460,5460,3304886108160,0.43337,0.5447,1.93,9.87
14,5850,5850,3540949401600,0.38161,0.5487,2.1159,10.54
15,6240,6240,3777012695040,0.33686,0.5433,2.2053,11.25
16,6630,6630,4013075988480,0.29464,0.5416,2.2754,11.93
17,7020,7020,4249139281920,0.28585,0.5461,2.4005,12.67
18,7410,7410,4485202575360,0.26353,0.5433,2.5034,13.37
19,7800,7800,4721265868800,0.23845,0.5442,2.5272,14.1
20,8190,8190,4957329162240,0.21712,0.5395,2.7088,14.83
21,8580,8580,5193392455680,0.20839,0.5409,2.7616,15.52
22,8970,8970,5429455749120,0.20481,0.5516,2.7864,16.24
23,9360,9360,5665519042560,0.18672,0.5392,2.9184,16.95
24,9750,9750,5901582336000,0.17672,0.5464,2.8183,17.7
25,10140,10140,6137645629440,0.17855,0.5384,3.0777,18.43
26,10530,10530,6373708922880,0.17021,0.5467,3.0567,19.16
27,10920,10920,6609772216320,0.15525,0.5472,3.2825,19.91
28,11310,11310,6845835509760,0.13934,0.5404,3.3417,20.62
29,11700,11700,7081898803200,0.14863,0.5459,3.2325,21.29
