epoch,step,full_steps,bp_flops,train_loss_ema,test_acc,test_loss,wall_s
0,390,150,107214274560,1.65466,0.4397,1.5642,0.81
1,780,350,241272094720,1.50204,0.4771,1.464,1.47
2,1170,550,375329914880,1.40885,0.4944,1.4205,2.17
3,1560,750,509387735040,1.37113,0.5124,1.3786,2.84
4,1950,950,643445555200,1.32242,0.5152,1.3677,3.5
5,2340,1150,777503375360,1.25599,0.5201,1.3567,4.2
6,2730,1350,911561195520,1.20062,0.5203,1.3393,4.9
7,3120,1550,1045619015680,1.14282,0.5198,1.366,5.57
8,3510,1745,1176992481280,1.09315,0.5253,1.3719,6.22
9,3900,1939,1307829075968,1.03645,0.5233,1.4173,6.89
10,4290,2133,1438665670656,1.01144,0.5343,1.3722,7.55
11,4680,2327,1569502265344,0.95195,0.5264,1.435,8.21
12,5070,2521,1700338860032,0.91741,0.5391,1.4721,8.88
13,5460,2715,1831175454720,0.85755,0.5365,1.4488,9.54
14,5850,2909,1962012049408,0.81775,0.536,1.5125,10.22
15,6240,3103,2092848644096,0.76301,0.5309,1.5316,10.92
16,6630,3300,2225295851520,0.72845,0.5432,1.4948,11.59
17,7020,3500,2359353671680,0.68556,0.5409,1.5633,12.29
18,7410,3700,2493411491840,0.67082,0.5452,1.5517,12.97
19,7800,3900,2627469312000,0.61338,0.5441,1.6391,13.64
20,8190,4100,2761527132160,0.58687,0.5409,1.6993,14.29
21,8580,4300,2895584952320,0.56463,0.5413,1.7256,14.95
22,8970,4450,3002799226880,0.52886,0.5306,1.8175,15.6
23,9360,4603,3111624114176,0.47236,0.5409,1.9163,16.31
24,9750,4800,3244071321600,0.46015,0.5409,1.8909,17.04
25,10140,5000,3378129141760,0.4423,0.5354,1.9455,17.74
26,10530,5200,3512186961920,0.42016,0.538,2.0346,18.4
27,10920,5400,3646244782080,0.42126,0.5379,2.0353,19.07
28,11310,5550,3753459056640,0.37816,0.5333,2.1612,19.75
29,11700,5750,3887516876800,0.37901,0.5372,2.2558,20.4
