epoch,step,full_steps,bp_flops,train_loss_ema,test_acc,test_loss,wall_s
0,390,50,53527183360,1.70183,0.393,1.6887,0.79
1,780,150,133897912320,1.59141,0.4536,1.5342,1.44
2,1170,200,187425095680,1.48293,0.4742,1.4743,2.09
3,1560,250,240952279040,1.46946,0.475,1.4846,2.75
4,1950,250,267635916800,1.40064,0.4864,1.4342,3.4
5,2340,296,319015616512,1.44059,0.463,1.5256,4.06
6,2730,300,347846737920,1.36557,0.4977,1.4099,4.72
7,3120,300,374530375680,1.34176,0.5046,1.396,5.37
8,3510,300,401214013440,1.33329,0.5029,1.4006,6.05
9,3900,300,427897651200,1.31464,0.4899,1.4375,6.72
10,4290,350,481424834560,1.37589,0.498,1.402,7.42
11,4680,350,508108472320,1.29095,0.4987,1.4046,8.12
12,5070,350,534792110080,1.29418,0.5008,1.4043,8.78
13,5460,350,561475747840,1.28778,0.5022,1.3955,9.44
14,5850,350,588159385600,1.27387,0.505,1.3952,10.1
15,6240,400,641686568960,1.37225,0.4936,1.4199,10.76
16,6630,400,668370206720,1.27613,0.5068,1.3956,11.4
17,7020,400,695053844480,1.28339,0.5076,1.3921,12.05
18,7410,400,721737482240,1.27055,0.5099,1.3786,12.72
19,7800,400,748421120000,1.26181,0.5077,1.3907,13.45
20,8190,400,775104757760,1.22513,0.5004,1.3943,14.08
21,8580,450,828631941120,1.29494,0.5023,1.4014,14.74
22,8970,450,855315578880,1.26263,0.4968,1.398,15.41
23,9360,450,881999216640,1.25633,0.4998,1.4099,16.04
24,9750,450,908682854400,1.22137,0.5044,1.3886,16.72
25,10140,450,935366492160,1.21319,0.5035,1.4057,17.36
26,10530,500,988893675520,1.31433,0.4994,1.4003,18.04
27,10920,500,1015577313280,1.24554,0.5016,1.402,18.74
28,11310,500,1042260951040,1.22688,0.503,1.3942,19.41
29,11700,500,1068944588800,1.20623,0.5135,1.3895,20.05
