epoch,step,full_steps,bp_flops,train_loss_ema,test_acc,test_loss,wall_s
0,390,0,26683637760,1.91756,0.331,1.8731,0.78
1,780,50,80210821120,1.71673,0.4219,1.6335,1.46
2,1170,100,133738004480,1.60115,0.4388,1.5662,2.15
3,1560,150,187265187840,1.53632,0.4665,1.5002,2.83
4,1950,200,240792371200,1.53943,0.4543,1.5312,3.47
5,2340,200,267476008960,1.42514,0.4781,1.4538,4.13
6,2730,200,294159646720,1.41013,0.4832,1.439,4.77
7,3120,250,347686830080,1.44171,0.487,1.4412,5.41
8,3510,250,374370467840,1.37127,0.4816,1.4437,6.09
9,3900,250,401054105600,1.36281,0.4914,1.4284,6.73
10,4290,250,427737743360,1.34606,0.4973,1.4197,7.39
11,4680,300,481264926720,1.41323,0.479,1.4712,8.06
12,5070,300,507948564480,1.35501,0.4949,1.4323,8.73
13,5460,300,534632202240,1.34229,0.4841,1.4398,9.36
14,5850,300,561315840000,1.33779,0.4931,1.4329,10.02
15,6240,300,587999477760,1.3108,0.5001,1.4099,10.69
16,6630,337,634547339264,1.36411,0.4472,1.5696,11.35
17,7020,350,668210298880,1.34018,0.4965,1.4416,12.0
18,7410,350,694893936640,1.31483,0.4965,1.4265,12.66
19,7800,350,721577574400,1.29876,0.4923,1.418,13.31
20,8190,350,748261212160,1.29519,0.4997,1.4164,13.95
21,8580,350,774944849920,1.27919,0.5002,1.4192,14.58
22,8970,400,828472033280,1.35911,0.4996,1.4203,15.22
23,9360,400,855155671040,1.30631,0.4927,1.4269,15.86
24,9750,400,881839308800,1.28784,0.5027,1.4124,16.53
25,10140,400,908522946560,1.2739,0.5078,1.3932,17.23
26,10530,400,935206584320,1.26254,0.5026,1.398,17.89
27,10920,450,988733767680,1.38236,0.4849,1.473,18.55
28,11310,450,1015417405440,1.29419,0.4997,1.4334,19.23
29,11700,450,1042101043200,1.294,0.5057,1.4033,19.9
