epoch,step,full_steps,bp_flops,train_loss_ema,test_acc,test_loss,wall_s
0,390,50,53527183360,1.77023,0.368,1.7656,1.42
1,780,50,80210821120,1.73061,0.38,1.7284,2.69
2,1170,100,133738004480,1.71567,0.4135,1.643,3.69
3,1560,100,160421642240,1.58829,0.4315,1.5953,4.69
4,1950,100,187105280000,1.549,0.4409,1.5593,5.68
5,2340,150,240632463360,1.55327,0.4486,1.5511,6.67
6,2730,150,267316101120,1.48605,0.4634,1.5111,7.66
7,3120,150,293999738880,1.46761,0.4583,1.5025,8.68
8,3510,200,347526922240,1.4926,0.4719,1.4902,9.68
9,3900,200,374210560000,1.43801,0.4631,1.4892,10.71
10,4290,200,400894197760,1.42804,0.482,1.4609,11.7
11,4680,250,454421381120,1.43668,0.4808,1.462,12.69
12,5070,250,481105018880,1.40114,0.4863,1.4549,13.66
13,5460,250,507788656640,1.39064,0.482,1.4491,14.64
14,5850,300,561315840000,1.41904,0.4805,1.4692,15.65
15,6240,300,587999477760,1.36394,0.487,1.4306,16.55
16,6630,330,630789242880,1.38634,0.4663,1.5202,17.56
17,7020,350,668210298880,1.38555,0.4902,1.4256,18.6
18,7410,350,694893936640,1.34683,0.4925,1.4258,19.58
19,7800,400,748421120000,1.41608,0.4875,1.4408,20.59
20,8190,400,775104757760,1.31729,0.4873,1.4371,21.57
21,8580,400,801788395520,1.29159,0.5062,1.4002,22.62
22,8970,450,855315578880,1.38795,0.4866,1.4389,23.66
23,9360,450,881999216640,1.32207,0.4968,1.423,24.66
24,9750,450,908682854400,1.29796,0.4969,1.4096,25.7
25,10140,500,962210037760,1.35634,0.4886,1.4353,26.7
26,10530,500,988893675520,1.29635,0.5064,1.3971,27.77
27,10920,500,1015577313280,1.2706,0.5107,1.4002,28.8
28,11310,550,1069104496640,1.29862,0.4973,1.4171,29.82
29,11700,550,1095788134400,1.25759,0.5078,1.4072,30.83
