epoch,step,full_steps,bp_flops,train_loss_ema,test_acc,test_loss,wall_s
0,390,39,47621603328,1.80864,0.3561,1.773,0.81
1,780,78,95243206656,1.74291,0.3612,1.7425,1.44
2,1170,117,142864809984,1.70092,0.3808,1.741,2.08
3,1560,156,190486413312,1.67417,0.4147,1.6432,2.78
4,1950,195,238108016640,1.6171,0.4287,1.5978,3.47
5,2340,234,285729619968,1.60856,0.4213,1.6414,4.15
6,2730,273,333351223296,1.60432,0.3921,1.7073,4.81
7,3120,312,380972826624,1.561,0.4393,1.5587,5.5
8,3510,351,428594429952,1.53897,0.4587,1.5268,6.17
9,3900,390,476216033280,1.55272,0.4347,1.5751,6.81
10,4290,429,523837636608,1.51735,0.4586,1.5275,7.52
11,4680,468,571459239936,1.48455,0.4579,1.5071,8.23
12,5070,507,619080843264,1.47615,0.4623,1.5035,8.9
13,5460,546,666702446592,1.47687,0.4515,1.5288,9.55
14,5850,585,714324049920,1.51864,0.4531,1.5214,10.26
15,6240,624,761945653248,1.45372,0.4739,1.4822,10.93
16,6630,663,809567256576,1.40127,0.4919,1.4436,11.61
17,7020,702,857188859904,1.4269,0.4767,1.4718,12.31
18,7410,741,904810463232,1.43897,0.477,1.4818,13.03
19,7800,780,952432066560,1.39893,0.4869,1.4421,13.74
20,8190,819,1000053669888,1.38912,0.471,1.4804,14.39
21,8580,858,1047675273216,1.37433,0.4777,1.4732,15.04
22,8970,897,1095296876544,1.39036,0.4961,1.4324,15.7
23,9360,936,1142918479872,1.39233,0.4841,1.4649,16.37
24,9750,975,1190540083200,1.36404,0.4747,1.4608,17.07
25,10140,1014,1238161686528,1.38064,0.4742,1.52,17.76
26,10530,1053,1285783289856,1.35072,0.5029,1.4258,18.46
27,10920,1092,1333404893184,1.34633,0.4914,1.4527,19.14
28,11310,1131,1381026496512,1.32161,0.495,1.4241,19.8
29,11700,1170,1428648099840,1.31596,0.5107,1.4059,20.46
