epoch,step,full_steps,bp_flops,train_loss_ema,test_acc,test_loss,wall_s
0,390,8,30978605056,1.86159,0.3452,1.8272,0.79
1,780,16,61957210112,1.78834,0.3477,1.789,1.44
2,1170,24,92935815168,1.83313,0.3351,1.8429,2.09
3,1560,32,123914420224,1.80909,0.3405,1.8014,2.74
4,1950,39,154356154368,1.79699,0.3545,1.8132,3.38
5,2340,47,185334759424,1.77067,0.3873,1.7122,4.03
6,2730,55,216313364480,1.78151,0.363,1.7546,4.69
7,3120,63,247291969536,1.74155,0.3676,1.7661,5.36
8,3510,71,278270574592,1.71848,0.3959,1.6842,6.01
9,3900,78,308712308736,1.70054,0.3992,1.6855,6.67
10,4290,86,339690913792,1.70912,0.3941,1.6809,7.32
11,4680,94,370669518848,1.71315,0.385,1.7379,7.97
12,5070,102,401648123904,1.70316,0.3996,1.6658,8.62
13,5460,110,432626728960,1.6996,0.3765,1.7463,9.27
14,5850,117,463068463104,1.68017,0.4094,1.6622,9.93
15,6240,125,494047068160,1.68835,0.3913,1.666,10.58
16,6630,133,525025673216,1.71318,0.3814,1.741,11.22
17,7020,141,556004278272,1.69095,0.3953,1.7208,11.86
18,7410,149,586982883328,1.70832,0.3919,1.6958,12.56
19,7800,156,617424617472,1.6941,0.3863,1.714,13.23
20,8190,164,648403222528,1.65472,0.3918,1.6844,13.9
21,8580,172,679381827584,1.70838,0.4048,1.6796,14.53
22,8970,180,710360432640,1.70448,0.3845,1.7031,15.21
23,9360,188,741339037696,1.68887,0.3911,1.7095,15.87
24,9750,195,771780771840,1.6628,0.3776,1.72,16.53
25,10140,203,802759376896,1.64599,0.4156,1.6488,17.22
26,10530,211,833737981952,1.66636,0.387,1.7445,17.89
27,10920,219,864716587008,1.64066,0.397,1.6952,18.56
28,11310,227,895695192064,1.63915,0.412,1.6393,19.21
29,11700,234,926136926208,1.63959,0.4301,1.6103,19.88
