epoch,step,full_steps,bp_flops,train_loss_ema,test_acc,test_loss,wall_s
0,390,390,236063293440,1.57106,0.461,1.5163,0.84
1,780,780,472126586880,1.43228,0.4834,1.4552,1.54
2,1170,1170,708189880320,1.3112,0.4954,1.4111,2.24
3,1560,1170,787218432000,1.17568,0.5291,1.3169,2.93
4,1950,1170,866246983680,1.09966,0.5435,1.3268,3.6
5,2340,1170,945275535360,1.03805,0.5359,1.3601,4.31
6,2730,1170,998131630080,0.95367,0.5418,1.36,4.98
7,3120,1170,1050987724800,0.86701,0.5458,1.3976,5.66
8,3510,1170,1103843819520,0.79618,0.5449,1.4499,6.35
9,3900,1170,1130527457280,0.65134,0.5485,1.5471,7.02
10,4290,1170,1157211095040,0.60965,0.5439,1.6107,7.65
11,4680,1170,1183894732800,0.58298,0.5443,1.6718,8.29
12,5070,1170,1210578370560,0.54914,0.5439,1.7381,8.96
13,5460,1170,1237262008320,0.51838,0.5418,1.7885,9.61
14,5850,1170,1263945646080,0.50673,0.5359,1.8027,10.29
15,6240,1170,1290629283840,0.45136,0.5399,1.9462,10.94
16,6630,1170,1317312921600,0.41917,0.5363,1.9239,11.58
17,7020,1170,1343996559360,0.39876,0.5409,2.039,12.24
18,7410,1170,1370680197120,0.37504,0.5383,2.1038,12.91
19,7800,1170,1397363834880,0.33818,0.5354,2.1767,13.58
20,8190,1170,1424047472640,0.31549,0.5301,2.2545,14.21
21,8580,1170,1450731110400,0.28066,0.5262,2.3198,14.83
22,8970,1170,1477414748160,0.24117,0.5312,2.4404,15.49
23,9360,1170,1504098385920,0.22254,0.5278,2.5235,16.17
24,9750,1170,1530782023680,0.19214,0.5314,2.6403,16.85
25,10140,1170,1557465661440,0.18095,0.5325,2.693,17.5
26,10530,1170,1584149299200,0.14974,0.5296,2.7936,18.12
27,10920,1170,1610832936960,0.1313,0.532,2.9081,18.75
28,11310,1170,1637516574720,0.11498,0.5312,2.9973,19.43
29,11700,1170,1664200212480,0.10085,0.5287,3.0948,20.12
