variant,acc_mean,acc_std,full_frac,bp_gflops
bcd,0.5051,0.001752141546793552,0.04273504273504273,1051.8396928
front,0.45316666666666666,0.012878405698429171,0.0,800.5091328
full,0.5495,0.00523067873224877,1.0,7081.8988032
fw,0.5118666666666666,0.0038214307966170737,0.04273504273504273,1068.9445888
fw_tau0005,0.5069666666666667,0.0011150485789118412,0.041310541310541314,1059.9967402666666
fw_tau005,0.5163333333333333,0.002421432083155215,0.04273504273504273,1068.9445888
lpft_sf05,0.5422333333333333,0.000986576572463242,0.5,3941.203968
lpft_sf08,0.5327666666666667,0.009802210635021767,0.20000000000000004,2056.78706688
lpft_sf09,0.49623333333333336,0.008615296473908065,0.10000000000000002,1428.64809984
lpft_sf095,0.4706666666666666,0.0028448784391135956,0.05000000000000001,1114.57861632
lpft_sf096,0.45576666666666665,0.005770904030854526,0.04,1051.764719616
periodic,0.4982666666666667,0.012159906797888443,0.10000000000000002,1428.64809984
periodic_p2,0.5359333333333334,0.004346646216720783,0.5,3941.203968
periodic_p20,0.465,0.013715319901482422,0.05000000000000001,1114.57861632
periodic_p5,0.5349666666666667,0.005885858759206924,0.20000000000000004,2056.78706688
periodic_p50,0.4278666666666667,0.004042688874169439,0.02,926.136926208
