variant,acc_mean,acc_std,full_frac,bp_gflops
bcd,0.9717333333333333,0.0026633312473917556,0.044515669515669515,724.8941329066666
front,0.9488,0.002920616373302019,0.0,640.40730624
full,0.9843666666666667,0.0003214550253665029,1.0,2858.5230336
fw,0.9662000000000001,0.005501817881391633,0.0462962962962963,743.0978491733334
fw_tau0005,0.9712000000000001,0.0030049958402633644,0.04095441595441596,731.2489403733334
fw_tau001,0.9686333333333333,0.0028431203515386512,0.044515669515669515,739.1482129066666
fw_tau005,0.9711,0.0004000000000000392,0.04807692307692308,747.04748544
lpft_sf05,0.9800666666666666,0.0017156145643277023,0.5,1749.46516992
lpft_sf08,0.9737,0.0023302360395461874,0.20000000000000004,1084.030451712
lpft_sf09,0.9671666666666666,0.0036143233576055827,0.10000000000000002,862.218878976
lpft_sf095,0.9573999999999999,0.0012489995996796577,0.05000000000000001,751.313092608
lpft_sf096,0.9513333333333334,0.001625833119767604,0.04006410256410257,729.27412224
periodic,0.9664333333333334,0.0015567059238447143,0.10000000000000002,862.218878976
periodic_p2,0.9790333333333333,0.0017785762095938625,0.5,1749.46516992
periodic_p20,0.9559666666666667,0.0027610384519838114,0.05000000000000001,751.313092608
periodic_p5,0.9724333333333334,0.0006350852961085425,0.20000000000000004,1084.030451712
periodic_p50,0.9401,0.0031511902513177343,0.020085470085470087,684.959203328
