step,full_steps,bp_flops,train_loss_ema,val_loss,wall_s
250,0,14699986944000,2.60947,2.51102,6.3
500,52,42946510454784,2.48334,2.46128,13.85
750,100,70150992691200,2.38232,2.30605,21.31
1000,150,97876495564800,2.22228,2.13875,28.82
1250,150,112576482508800,2.12532,2.06974,34.98
1500,200,140301985382400,2.0472,2.01128,42.5
1750,200,155001972326400,1.98656,1.96262,48.67
2000,200,169701959270400,1.93571,1.92553,54.87
2250,250,197427462144000,1.8894,1.89416,62.39
2500,250,212127449088000,1.85553,1.87182,68.57
2750,250,226827436032000,1.83372,1.85541,74.76
3000,250,241527422976000,1.81373,1.84232,80.94
3250,250,256227409920000,1.80186,1.83133,87.14
3500,250,270927396864000,1.78612,1.82358,93.32
3750,250,285627383808000,1.77649,1.81843,99.5
4000,300,313352886681600,1.77139,1.81136,107.03
4250,300,328052873625600,1.76493,1.80953,113.2
4500,300,342752860569600,1.76407,1.80733,119.38
4750,300,357452847513600,1.76449,1.80759,125.56
5000,300,372152834457600,1.76461,1.80752,131.74
