step,full_steps,bp_flops,train_loss_ema,val_loss,wall_s
250,0,14744027136000,2.61635,2.5105,14.2
500,0,29488054272000,2.49079,2.46978,31.7
750,0,44232081408000,2.45907,2.43928,49.27
1000,0,58976108544000,2.33955,2.24133,66.78
1250,0,73720135680000,2.16084,2.06956,84.29
1500,0,88464162816000,2.0295,1.96867,101.86
1750,0,103208189952000,1.95469,1.90592,119.38
2000,0,117952217088000,1.90948,1.87579,136.9
2250,0,132696244224000,1.86662,1.85462,154.44
2500,0,147440271360000,1.82583,1.83694,171.97
2750,0,162184298496000,1.80022,1.82444,189.5
3000,0,176928325632000,1.77652,1.81226,207.03
3250,0,191672352768000,1.75813,1.79495,224.66
3500,0,206416379904000,1.73998,1.78309,242.33
3750,0,221160407040000,1.72874,1.7694,259.98
4000,0,235904434176000,1.71553,1.7559,277.64
4250,0,250648461312000,1.70485,1.74717,295.27
4500,0,265392488448000,1.69034,1.74105,312.91
4750,0,280136515584000,1.68333,1.73316,330.52
5000,0,294880542720000,1.67688,1.72829,348.13
5250,0,309624569856000,1.6382,1.5516,365.75
5500,0,324368596992000,1.56396,1.51631,379.9
5750,0,339112624128000,1.53059,1.50103,396.21
6000,0,353856651264000,1.50034,1.48853,412.52
6250,0,368600678400000,1.48244,1.48279,430.11
6500,0,383344705536000,1.46729,1.47796,446.49
6750,0,398088732672000,1.45812,1.47679,462.85
7000,0,412832759808000,1.44865,1.47542,479.21
7250,0,427576786944000,1.43872,1.47399,496.89
7500,0,442320814080000,1.43516,1.47406,513.25
7750,0,457064841216000,1.4265,1.46998,529.6
8000,0,471808868352000,1.42627,1.46905,547.22
8250,0,486552895488000,1.42056,1.46783,563.54
8500,0,501296922624000,1.41858,1.46991,579.87
8750,0,516040949760000,1.41466,1.46929,597.14
9000,0,530784976896000,1.4158,1.46929,613.81
9250,0,545529004032000,1.41394,1.46908,630.13
9500,0,560273031168000,1.41392,1.46914,646.46
9750,0,575017058304000,1.41447,1.46905,664.08
10000,0,589761085440000,1.41156,1.46907,680.39
