step,full_steps,bp_flops,train_loss_ema,val_loss,wall_s
250,0,14850981888000,2.63419,2.51421,24.68
500,0,29701963776000,2.49314,2.46754,49.21
750,0,44552945664000,2.45225,2.41478,70.21
1000,0,59403927552000,2.28855,2.18541,89.25
1250,0,74254909440000,2.13696,2.0428,108.81
1500,0,89105891328000,2.02614,1.96314,128.29
1750,0,103956873216000,1.95264,1.91086,144.57
2000,0,118807855104000,1.90783,1.88595,160.89
2250,0,133658836992000,1.86876,1.86532,178.07
2500,0,148509818880000,1.84261,1.8447,194.89
2750,0,163360800768000,1.82588,1.83238,211.26
3000,0,178211782656000,1.80217,1.82295,227.65
3250,0,193062764544000,1.7738,1.80632,240.28
3500,0,207913746432000,1.74292,1.79625,256.64
3750,0,222764728320000,1.72512,1.78346,272.99
4000,0,237615710208000,1.70779,1.76583,289.33
4250,0,252466692096000,1.69435,1.75578,305.69
4500,0,267317673984000,1.6795,1.74736,322.03
4750,0,282168655872000,1.6708,1.74155,338.37
5000,0,297019637760000,1.66404,1.73403,354.7
5250,0,311870619648000,1.78566,1.69585,371.03
5500,0,326721601536000,1.73558,1.66507,387.36
5750,0,341572583424000,1.70975,1.64527,403.7
6000,0,356423565312000,1.69155,1.63057,420.04
6250,0,371274547200000,1.68362,1.62169,436.37
6500,0,386125529088000,1.67106,1.61173,452.7
6750,0,400976510976000,1.66184,1.60743,469.04
7000,0,415827492864000,1.65662,1.60202,485.37
7250,0,430678474752000,1.65015,1.59623,501.69
7500,0,445529456640000,1.6463,1.59517,518.01
7750,0,460380438528000,1.64178,1.5917,534.32
8000,0,475231420416000,1.64408,1.58888,550.64
8250,0,490082402304000,1.64054,1.58674,566.95
8500,0,504933384192000,1.63867,1.58623,583.27
8750,0,519784366080000,1.63507,1.58474,599.59
9000,0,534635347968000,1.63525,1.58387,615.92
9250,0,549486329856000,1.63481,1.58364,632.23
9500,0,564337311744000,1.63479,1.5835,648.55
9750,0,579188293632000,1.63438,1.58341,664.87
10000,0,594039275520000,1.63204,1.5834,681.19
