step,full_steps,bp_flops,train_loss_ema,val_loss,wall_s
250,0,14699986944000,2.61062,2.51289,6.31
500,0,29399973888000,2.48572,2.46473,12.45
750,0,44099960832000,2.4093,2.33939,18.61
1000,0,58799947776000,2.23737,2.15237,24.76
1250,0,73499934720000,2.13075,2.08174,30.91
1500,0,88199921664000,2.06381,2.02689,37.06
1750,0,102899908608000,1.99842,1.96931,43.22
2000,0,117599895552000,1.93829,1.93873,49.39
2250,0,132299882496000,1.89569,1.91055,55.55
2500,0,146999869440000,1.86468,1.89008,61.7
2750,0,161699856384000,1.83855,1.86762,67.86
3000,0,176399843328000,1.82185,1.86217,74.01
3250,0,191099830272000,1.81141,1.85312,80.17
3500,0,205799817216000,1.79892,1.84443,86.34
3750,0,220499804160000,1.7921,1.84455,92.51
4000,0,235199791104000,1.78603,1.84017,98.66
4250,0,249899778048000,1.77925,1.83761,104.82
4500,0,264599764992000,1.78246,1.83597,110.97
4750,0,279299751936000,1.78012,1.83649,117.13
5000,0,293999738880000,1.78196,1.83658,123.3
