step,full_steps,bp_flops,train_loss_ema,val_loss,wall_s
250,250,87275077632000,2.52402,2.45301,13.01
500,500,174550155264000,2.22858,2.14406,25.92
750,600,218338689024000,2.00891,2.01582,34.77
1000,600,233136193536000,1.96511,1.97306,40.92
1250,600,247933698048000,1.92102,1.93442,47.09
1500,600,262731202560000,1.87963,1.90375,53.24
1750,600,277528707072000,1.85211,1.8767,59.41
2000,600,292326211584000,1.82323,1.85482,65.57
2250,600,307123716096000,1.79483,1.82999,71.72
2500,600,321921220608000,1.77608,1.8089,77.88
2750,600,336718725120000,1.75934,1.79509,84.03
3000,600,351516229632000,1.74226,1.78403,90.19
3250,600,366313734144000,1.72888,1.76576,96.35
3500,600,381111238656000,1.71254,1.75733,102.51
3750,600,395908743168000,1.69833,1.74606,108.66
4000,600,410706247680000,1.69017,1.7351,114.83
4250,600,425503752192000,1.67566,1.7315,121.0
4500,600,440301256704000,1.66645,1.7195,127.16
4750,600,455098761216000,1.66004,1.71592,133.31
5000,600,469896265728000,1.65121,1.71338,139.48
5250,600,484693770240000,1.64283,1.70367,145.67
5500,600,499491274752000,2.27552,2.08307,151.85
5750,600,514288779264000,1.952,1.81864,158.01
6000,600,529086283776000,1.83039,1.72688,164.16
6250,600,543883788288000,1.77358,1.67086,170.32
6500,600,558681292800000,1.73061,1.63255,176.48
6750,600,573478797312000,1.70351,1.60977,182.63
7000,600,588276301824000,1.67696,1.5889,188.8
7250,600,603073806336000,1.66065,1.57818,194.97
7500,600,617871310848000,1.64773,1.56178,201.13
7750,600,632668815360000,1.6338,1.55319,207.28
8000,600,647466319872000,1.62224,1.54344,213.43
8250,600,662263824384000,1.62138,1.53871,219.58
8500,600,677061328896000,1.61366,1.53684,225.75
8750,600,691858833408000,1.61329,1.53179,231.91
9000,600,706656337920000,1.60914,1.53178,238.08
9250,600,721453842432000,1.61443,1.52986,244.26
9500,600,736251346944000,1.60375,1.52946,250.42
9750,600,751048851456000,1.60326,1.52905,256.58
10000,600,765846355968000,1.6101,1.52896,262.75
