step,full_steps,bp_flops,train_loss_ema,val_loss,wall_s
250,250,87177560064000,2.51424,2.45555,31.24
500,500,174355120128000,2.23397,2.13683,62.25
750,750,261532680192000,1.93889,1.93486,93.2
1000,1000,348710240256000,1.75433,1.79805,124.12
1250,1000,363410227200000,1.69398,1.76802,146.44
1500,1000,378110214144000,1.66981,1.75097,168.85
1750,1000,392810201088000,1.65586,1.73629,191.71
2000,1000,407510188032000,1.63861,1.72288,214.05
2250,1000,422210174976000,1.62117,1.70786,236.39
2500,1000,436910161920000,1.61108,1.69718,258.73
2750,1000,451610148864000,1.60145,1.69167,281.03
3000,1000,466310135808000,1.5939,1.68565,303.37
3250,1000,481010122752000,1.58835,1.67913,325.69
3500,1000,495710109696000,1.58131,1.67623,348.02
3750,1000,510410096640000,1.57673,1.67387,370.35
4000,1000,525110083584000,1.57716,1.6693,392.68
4250,1000,539810070528000,1.57256,1.6688,415.02
4500,1000,554510057472000,1.57366,1.66753,437.35
4750,1000,569210044416000,1.57383,1.66798,459.69
5000,1000,583910031360000,1.5744,1.66774,482.53
