step,full_steps,bp_flops,train_loss_ema,val_loss,wall_s
250,250,87328555008000,2.52678,2.45406,24.4
500,500,174657110016000,2.23944,2.15982,48.59
750,600,218499121152000,2.03407,2.03597,68.09
1000,600,233350103040000,1.9866,1.9962,84.49
1250,600,248201084928000,1.93893,1.95008,100.89
1500,600,263052066816000,1.89449,1.91337,117.25
1750,600,277903048704000,1.86529,1.88867,133.62
2000,600,292754030592000,1.83499,1.86258,149.96
2250,600,307605012480000,1.80559,1.83382,166.29
2500,600,322455994368000,1.78516,1.81751,182.62
2750,600,337306976256000,1.76684,1.80158,198.97
3000,600,352157958144000,1.74658,1.78779,215.37
3250,600,367008940032000,1.7306,1.76655,231.76
3500,600,381859921920000,1.71193,1.76139,248.16
3750,600,396710903808000,1.69655,1.75305,264.54
4000,600,411561885696000,1.68688,1.73922,280.94
4250,600,426412867584000,1.67158,1.73365,297.32
4500,600,441263849472000,1.66125,1.72307,313.72
4750,600,456114831360000,1.65369,1.71511,330.1
5000,600,470965813248000,1.645,1.71267,347.91
5250,600,485816795136000,1.80862,1.72516,370.22
5500,600,500667777024000,1.75688,1.69018,392.55
5750,600,515518758912000,1.72804,1.66721,415.02
6000,600,530369740800000,1.71133,1.65229,437.8
6250,600,545220722688000,1.69588,1.64226,454.16
6500,600,560071704576000,1.6806,1.63438,476.48
6750,600,574922686464000,1.67244,1.62752,498.8
7000,600,589773668352000,1.66277,1.61803,521.12
7250,600,604624650240000,1.66101,1.61331,543.44
7500,600,619475632128000,1.65709,1.61109,565.78
7750,600,634326614016000,1.64586,1.60748,588.12
8000,600,649177595904000,1.64664,1.60443,610.65
8250,600,664028577792000,1.64358,1.60207,633.4
8500,600,678879559680000,1.64301,1.59923,655.74
8750,600,693730541568000,1.63985,1.59907,678.09
9000,600,708581523456000,1.64115,1.59755,700.43
9250,600,723432505344000,1.63944,1.59761,722.78
9500,600,738283487232000,1.63908,1.59712,745.12
9750,600,753134469120000,1.63886,1.59715,767.48
10000,600,767985451008000,1.63809,1.59709,789.82
