step,full_steps,bp_flops,train_loss_ema,val_loss,wall_s
250,250,87275077632000,2.52265,2.45492,12.51
500,500,174550155264000,2.24337,2.1641,24.85
750,750,261825232896000,1.9689,1.94621,37.33
1000,1000,349100310528000,1.77657,1.81592,49.92
1250,1250,436375388160000,1.65397,1.72086,62.62
1500,1500,523650465792000,1.56512,1.65725,75.4
1750,1750,610925543424000,1.49946,1.60673,88.22
2000,2000,698200621056000,1.44999,1.57798,101.09
2250,2250,785475698688000,1.40429,1.55439,114.0
2500,2500,872750776320000,1.3695,1.53657,126.95
2750,2750,960025853952000,1.34597,1.51589,139.93
3000,3000,1047300931584000,1.31813,1.50989,152.94
3250,3250,1134576009216000,1.297,1.49453,165.94
3500,3500,1221851086848000,1.27134,1.48782,178.94
3750,3750,1309126164480000,1.25672,1.47945,191.91
4000,4000,1396401242112000,1.23908,1.4798,204.89
4250,4250,1483676319744000,1.2241,1.47605,217.86
4500,4500,1570951397376000,1.20475,1.4803,230.83
4750,4750,1658226475008000,1.19231,1.47229,243.79
5000,5000,1745501552640000,1.17983,1.47769,256.74
5250,5250,1832776630272000,1.16518,1.48051,269.68
5500,5500,1920051707904000,1.72569,1.5757,282.63
5750,5750,2007326785536000,1.28972,1.30529,295.56
6000,6000,2094601863168000,1.15713,1.19887,308.5
6250,6250,2181876940800000,1.08029,1.13266,321.44
6500,6500,2269152018432000,1.0313,1.09159,334.37
6750,6750,2356427096064000,0.99795,1.0636,347.3
7000,7000,2443702173696000,0.96755,1.04227,360.24
7250,7250,2530977251328000,0.94773,1.03099,373.17
7500,7500,2618252328960000,0.9289,1.02185,386.1
7750,7750,2705527406592000,0.92263,1.00651,399.04
8000,8000,2792802484224000,0.91275,1.00037,411.96
8250,8250,2880077561856000,0.89852,0.99553,424.9
8500,8500,2967352639488000,0.89561,0.99138,437.83
8750,8750,3054627717120000,0.89105,0.98868,450.76
9000,9000,3141902794752000,0.8863,0.98676,463.7
9250,9250,3229177872384000,0.88333,0.98501,476.64
9500,9500,3316452950016000,0.88293,0.98458,489.58
9750,9750,3403728027648000,0.8786,0.98433,502.52
10000,10000,3491003105280000,0.87977,0.98437,515.47
