step,full_steps,bp_flops,train_loss_ema,val_loss,wall_s
250,250,87221600256000,2.51786,2.45564,24.45
500,500,174443200512000,2.21176,2.12349,48.57
750,750,261664800768000,1.93057,1.91678,72.0
1000,1000,348886401024000,1.74645,1.79404,100.94
1250,1250,436108001280000,1.63112,1.70774,131.92
1500,1500,523329601536000,1.5479,1.64676,162.93
1750,1750,610551201792000,1.48435,1.60073,193.82
2000,2000,697772802048000,1.43645,1.56977,218.54
2250,2250,784994402304000,1.3905,1.53846,242.62
2500,2500,872216002560000,1.35624,1.52943,266.8
2750,2750,959437602816000,1.3324,1.50299,291.01
3000,3000,1046659203072000,1.30461,1.49522,315.21
3250,3250,1133880803328000,1.28233,1.48222,339.4
3500,3500,1221102403584000,1.25832,1.47329,363.6
3750,3750,1308324003840000,1.24183,1.47,387.77
4000,4000,1395545604096000,1.22324,1.47275,411.97
4250,4250,1482767204352000,1.20908,1.46541,436.17
4500,4500,1569988804608000,1.1886,1.46809,460.36
4750,4750,1657210404864000,1.17583,1.46396,484.54
5000,5000,1744432005120000,1.16238,1.47151,508.74
5250,5250,1831653605376000,1.07011,1.26837,532.87
5500,5500,1918875205632000,0.87687,1.33092,556.44
5750,5750,2006096805888000,0.73137,1.43913,580.48
6000,6000,2093318406144000,0.60683,1.55051,604.57
6250,6250,2180540006400000,0.50968,1.66944,628.72
6500,6500,2267761606656000,0.43215,1.7838,654.21
6750,6750,2354983206912000,0.37304,1.87976,678.38
7000,7000,2442204807168000,0.32832,1.97613,702.57
7250,7250,2529426407424000,0.29534,2.06051,728.04
7500,7500,2616648007680000,0.27099,2.10324,752.21
7750,7750,2703869607936000,0.25257,2.15032,776.4
8000,8000,2791091208192000,0.23926,2.18215,801.91
8250,8250,2878312808448000,0.22791,2.22116,826.09
8500,8500,2965534408704000,0.22031,2.24442,850.28
8750,8750,3052756008960000,0.21398,2.26224,875.78
9000,9000,3139977609216000,0.21125,2.27083,899.97
9250,9250,3227199209472000,0.20773,2.27859,924.08
9500,9500,3314420809728000,0.20689,2.28213,949.5
9750,9750,3401642409984000,0.20573,2.28431,973.69
10000,10000,3488864010240000,0.20579,2.28438,997.86
