step,full_steps,bp_flops,train_loss_ema,val_loss,wall_s
250,250,87328555008000,2.52916,2.46296,33.29
500,500,174657110016000,2.25685,2.17007,67.67
750,750,261985665024000,1.97395,1.95217,100.7
1000,1000,349314220032000,1.77598,1.81599,133.65
1250,1250,436642775040000,1.65016,1.723,167.24
1500,1500,523971330048000,1.56164,1.65988,201.55
1750,1750,611299885056000,1.49412,1.61125,235.88
2000,2000,698628440064000,1.44396,1.57615,270.25
2250,2250,785956995072000,1.39657,1.55395,304.61
2500,2500,873285550080000,1.36114,1.53203,338.95
2750,2750,960614105088000,1.3375,1.51184,373.31
3000,3000,1047942660096000,1.30907,1.5092,407.66
3250,3250,1135271215104000,1.28719,1.4935,441.98
3500,3500,1222599770112000,1.26247,1.47972,476.32
3750,3750,1309928325120000,1.24692,1.4794,511.6
4000,4000,1397256880128000,1.22828,1.4808,546.44
4250,4250,1484585435136000,1.21437,1.47062,581.16
4500,4500,1571913990144000,1.19444,1.47903,616.74
4750,4750,1659242545152000,1.18109,1.4772,651.04
5000,5000,1746571100160000,1.16829,1.47434,685.43
5250,5250,1833899655168000,1.35957,1.35876,721.08
5500,5500,1921228210176000,1.29224,1.32559,755.43
5750,5750,2008556765184000,1.25525,1.30264,789.8
6000,6000,2095885320192000,1.23298,1.28895,824.68
6250,6250,2183213875200000,1.21887,1.2778,857.72
6500,6500,2270542430208000,1.20408,1.26558,890.81
6750,6750,2357870985216000,1.19056,1.26484,926.51
7000,7000,2445199540224000,1.18228,1.25587,959.55
7250,7250,2532528095232000,1.17449,1.2507,992.6
7500,7500,2619856650240000,1.16826,1.24718,1028.27
7750,7750,2707185205248000,1.1606,1.24485,1061.25
8000,8000,2794513760256000,1.16233,1.242,1094.26
8250,8250,2881842315264000,1.15526,1.23755,1129.49
8500,8500,2969170870272000,1.15397,1.23733,1163.02
8750,8750,3056499425280000,1.14909,1.2372,1196.15
9000,9000,3143827980288000,1.14971,1.2351,1230.64
9250,9250,3231156535296000,1.14625,1.23482,1264.96
9500,9500,3318485090304000,1.14702,1.23454,1298.1
9750,9750,3405813645312000,1.14793,1.23405,1331.73
10000,10000,3493142200320000,1.14484,1.23391,1366.92
