step,full_steps,bp_flops,train_loss_ema,val_loss,wall_s
250,250,87177560064000,2.51309,2.4519,13.07
500,500,174355120128000,2.22221,2.1263,26.0
750,750,261532680192000,1.93924,1.91458,38.94
1000,1000,348710240256000,1.75162,1.78861,51.91
1250,1250,435887800320000,1.63015,1.70745,64.88
1500,1500,523065360384000,1.54901,1.6383,77.87
1750,1750,610242920448000,1.48876,1.59229,90.85
2000,2000,697420480512000,1.4395,1.56779,103.83
2250,2250,784598040576000,1.40668,1.54302,116.82
2500,2500,871775600640000,1.37832,1.52762,129.79
2750,2750,958953160704000,1.35513,1.51264,142.76
3000,3000,1046130720768000,1.33681,1.50327,155.73
3250,3250,1133308280832000,1.32288,1.49465,168.69
3500,3500,1220485840896000,1.30768,1.49051,181.66
3750,3750,1307663400960000,1.29976,1.48904,194.61
4000,4000,1394840961024000,1.29279,1.48363,207.57
4250,4250,1482018521088000,1.28369,1.48072,220.53
4500,4500,1569196081152000,1.28297,1.48055,233.48
4750,4750,1656373641216000,1.28223,1.48008,246.45
5000,5000,1743551201280000,1.28193,1.48,259.4
