step,full_steps,bp_flops,train_loss_ema,val_loss,wall_s
250,50,29195501568000,2.59979,2.49265,7.33
500,103,59260734013440,2.45024,2.42599,14.66
750,200,102082019328000,2.29812,2.21814,23.17
1000,300,145773035520000,2.11103,2.06257,31.83
1250,358,177287819427840,1.97837,1.96802,39.43
1500,450,218659553280000,1.87509,1.89282,47.98
1750,550,262350569472000,1.80245,1.83979,56.78
2000,613,295314904842240,1.74595,1.80464,64.61
2250,700,335237087232000,1.69802,1.77198,73.12
2500,800,378928103424000,1.66605,1.74724,82.01
2750,868,413341990256640,1.64564,1.73339,90.04
3000,950,451814621184000,1.62162,1.7168,98.48
3250,1050,495505637376000,1.60687,1.70142,107.4
3500,1123,531369075671040,1.59241,1.69932,115.58
3750,1200,568392155136000,1.58643,1.6895,123.88
4000,1300,612083171328000,1.58088,1.68376,132.8
4250,1378,649396161085440,1.57671,1.6805,141.12
4500,1450,684969689088000,1.57092,1.68013,149.29
4750,1550,728660705280000,1.57154,1.67948,158.19
5000,1633,767423246499840,1.5732,1.67929,166.63
