step,full_steps,bp_flops,train_loss_ema,val_loss,wall_s
250,0,14699986944000,2.62845,2.5605,6.26
500,100,58391003136000,2.48772,2.46532,15.13
750,150,87586504704000,2.45198,2.43355,22.62
1000,150,102286491648000,2.41921,2.42156,28.77
1250,200,131481993216000,2.37721,2.34232,36.26
1500,200,146181980160000,2.34782,2.33001,42.4
1750,200,160881967104000,2.33599,2.31653,48.55
2000,200,175581954048000,2.32479,2.30241,54.69
2250,250,204777455616000,2.26042,2.22123,62.2
2500,250,219477442560000,2.24369,2.20884,68.34
2750,250,234177429504000,2.23403,2.19616,74.49
3000,250,248877416448000,2.2208,2.18822,80.65
3250,250,263577403392000,2.21576,2.17979,86.79
3500,250,278277390336000,2.20826,2.17655,92.94
3750,256,294716839034880,2.20689,2.17275,99.25
4000,300,322172878848000,2.1842,2.14939,106.61
4250,300,336872865792000,2.18148,2.14633,112.76
4500,300,351572852736000,2.17855,2.14549,118.9
4750,300,366272839680000,2.17708,2.14571,125.07
5000,300,380972826624000,2.17906,2.14533,131.23
