step,full_steps,bp_flops,train_loss_ema,val_loss,wall_s
250,0,14699986944000,2.61012,2.51206,6.26
500,52,44475309096960,2.47407,2.49619,13.77
750,100,73090990080000,2.3245,2.23678,21.21
1000,150,102286491648000,2.15298,2.11188,28.7
1250,150,116986478592000,2.06,2.04105,34.87
1500,200,146181980160000,1.97201,1.9743,42.43
1750,200,160881967104000,1.90657,1.92032,48.6
2000,200,175581954048000,1.85727,1.88311,54.8
2250,250,204777455616000,1.81556,1.85448,62.35
2500,250,219477442560000,1.7777,1.83361,68.54
2750,250,234177429504000,1.762,1.81514,74.74
3000,250,248877416448000,1.74325,1.80471,80.94
3250,250,263577403392000,1.73255,1.79257,87.14
3500,250,278277390336000,1.72187,1.79082,93.36
3750,250,292977377280000,1.72023,1.78316,99.58
4000,300,322172878848000,1.71446,1.77824,107.13
4250,300,336872865792000,1.71154,1.77545,113.33
4500,300,351572852736000,1.70605,1.77603,119.53
4750,300,366272839680000,1.70719,1.77527,125.72
5000,300,380972826624000,1.70952,1.77524,131.92
