step,full_steps,bp_flops,train_loss_ema,val_loss,wall_s
250,0,14797504512000,2.62573,2.5069,6.26
500,52,44670344232960,2.47902,2.45675,13.81
750,100,73383542784000,2.39718,2.36165,21.26
1000,150,102676561920000,2.22924,2.15465,28.77
1250,150,117474066432000,2.08459,2.0543,34.92
1500,200,146767085568000,1.96083,1.95884,42.42
1750,200,161564590080000,1.88446,1.90373,48.58
2000,200,176362094592000,1.82232,1.8623,54.73
2250,250,205655113728000,1.77137,1.82428,62.24
2500,250,220452618240000,1.72721,1.7899,68.4
2750,250,235250122752000,1.70289,1.77866,74.55
3000,250,250047627264000,1.68267,1.76738,80.7
3250,250,264845131776000,1.66874,1.7459,86.87
3500,250,279642636288000,1.6533,1.74415,93.03
3750,250,294440140800000,1.64094,1.72951,99.19
4000,300,323733159936000,1.63034,1.71709,106.7
4250,300,338530664448000,1.61509,1.70778,112.85
4500,300,353328168960000,1.60771,1.69502,119.01
4750,300,368125673472000,1.60396,1.69283,125.17
5000,300,382923177984000,1.59763,1.68734,131.33
5250,300,397720682496000,1.59081,1.68053,137.5
5500,300,412518187008000,2.1719,1.98392,143.66
5750,300,427315691520000,1.82245,1.7267,149.82
6000,350,456608710656000,1.69794,1.62813,157.34
6250,350,471406215168000,1.63157,1.57329,163.5
6500,350,486203719680000,1.59278,1.53985,169.66
6750,350,501001224192000,1.57089,1.51795,175.82
7000,350,515798728704000,1.54926,1.50349,182.0
7250,350,530596233216000,1.53314,1.49403,188.16
7500,350,545393737728000,1.52313,1.48081,194.32
7750,350,560191242240000,1.51124,1.47449,200.48
8000,350,574988746752000,1.50326,1.46548,206.64
8250,400,604281765888000,1.49791,1.45923,214.15
8500,400,619079270400000,1.49106,1.45742,220.31
8750,400,633876774912000,1.49148,1.45339,226.46
9000,400,648674279424000,1.48673,1.45409,232.62
9250,400,663471783936000,1.49288,1.45201,238.77
9500,400,678269288448000,1.48208,1.45176,244.93
9750,400,693066792960000,1.4822,1.45145,251.09
10000,400,707864297472000,1.48894,1.45135,257.25
