step,full_steps,bp_flops,train_loss_ema,val_loss,wall_s
250,50,29195501568000,2.59893,2.49189,7.65
500,154,74046158929920,2.43317,2.40431,16.62
750,300,131073048576000,2.2227,2.15182,26.73
1000,409,177373257400320,2.04837,2.02516,35.85
1250,550,232950595584000,1.90279,1.9039,45.84
1500,664,280700355870720,1.78886,1.83044,55.1
1750,800,334828142592000,1.71213,1.77031,64.97
2000,919,384027454341120,1.64993,1.73188,74.36
2250,1050,436705689600000,1.59927,1.68771,84.07
2500,1174,487354552811520,1.5663,1.66397,93.6
2750,1300,538583236608000,1.53851,1.63944,103.18
3000,1429,590681651281920,1.51678,1.62745,112.84
3250,1550,640460783616000,1.49956,1.61151,122.29
3500,1684,694008749752320,1.48537,1.60489,132.09
3750,1800,742338330624000,1.4738,1.5994,141.39
4000,1939,797335848222720,1.46886,1.59118,151.33
4250,2050,844215877632000,1.46197,1.58909,160.51
4500,2194,900662946693120,1.46057,1.58689,170.57
4750,2300,946093424640000,1.46097,1.58654,179.61
5000,2449,1003990045163520,1.46124,1.58625,189.82
