step,full_steps,bp_flops,train_loss_ema,val_loss,wall_s
250,0,14699986944000,2.60947,2.51102,6.26
500,52,44475309096960,2.46217,2.42569,13.83
750,100,73090990080000,2.28378,2.18895,21.28
1000,150,102286491648000,2.14344,2.07979,28.79
1250,150,116986478592000,2.06675,2.02718,34.96
1500,200,146181980160000,1.98281,1.95986,42.49
1750,200,160881967104000,1.92717,1.91987,48.65
2000,200,175581954048000,1.886,1.89364,54.82
2250,250,204777455616000,1.8502,1.86691,62.34
2500,250,219477442560000,1.81801,1.8452,68.51
2750,250,234177429504000,1.79542,1.83012,74.68
3000,250,248877416448000,1.77446,1.81899,80.85
3250,250,263577403392000,1.76306,1.80845,87.02
3500,250,278277390336000,1.74989,1.80276,93.2
3750,250,292977377280000,1.74277,1.79835,99.39
4000,300,322172878848000,1.73927,1.79077,106.93
4250,300,336872865792000,1.73245,1.78946,113.09
4500,300,351572852736000,1.73211,1.78707,119.26
4750,300,366272839680000,1.73283,1.78732,125.43
5000,300,380972826624000,1.73304,1.78734,131.59
