step,full_steps,bp_flops,train_loss_ema,val_loss,wall_s
250,0,14797504512000,2.62774,2.51277,6.28
500,52,44670344232960,2.47825,2.45778,13.83
750,100,73383542784000,2.35924,2.27471,21.27
1000,150,102676561920000,2.16996,2.10098,28.77
1250,150,117474066432000,2.0728,2.0429,34.95
1500,200,146767085568000,1.96286,1.95724,42.47
1750,200,161564590080000,1.87343,1.89064,48.63
2000,200,176362094592000,1.81025,1.8588,54.79
2250,250,205655113728000,1.76915,1.82551,62.3
2500,250,220452618240000,1.7273,1.7946,68.47
2750,250,235250122752000,1.70073,1.76694,74.64
3000,250,250047627264000,1.68236,1.75361,80.81
3250,250,264845131776000,1.66752,1.7387,86.99
3500,250,279642636288000,1.6508,1.72547,93.15
3750,250,294440140800000,1.63916,1.71895,99.32
4000,300,323733159936000,1.62329,1.70238,106.85
4250,300,338530664448000,1.60433,1.69393,113.01
4500,300,353328168960000,1.60015,1.68543,119.19
4750,300,368125673472000,1.59231,1.68689,125.36
5000,300,382923177984000,1.5856,1.67512,131.53
5250,300,397720682496000,1.57949,1.66988,137.69
5500,350,427013701632000,2.1322,1.90499,145.22
5750,358,444130488483840,1.76578,1.67682,151.6
6000,450,485599739904000,1.64192,1.57716,160.26
6250,460,503296347340800,1.58125,1.53421,166.7
6500,500,529690263552000,1.53383,1.49548,173.95
6750,511,547676781281280,1.50636,1.47893,180.41
7000,550,573780787200000,1.48263,1.45327,187.63
7250,550,588578291712000,1.47484,1.44158,193.79
7500,550,603375796224000,1.45882,1.43328,199.96
7750,600,632668815360000,1.45247,1.42668,207.48
8000,600,647466319872000,1.43518,1.42135,213.64
8250,600,662263824384000,1.4323,1.41534,219.81
8500,600,677061328896000,1.42795,1.41293,225.97
8750,600,691858833408000,1.43263,1.40985,232.13
9000,600,706656337920000,1.42287,1.4101,238.29
9250,600,721453842432000,1.42576,1.40872,244.45
9500,650,750746861568000,1.41872,1.40741,251.96
9750,650,765544366080000,1.42678,1.4075,258.12
10000,650,780341870592000,1.4232,1.40737,264.27
