step,full_steps,bp_flops,train_loss_ema,val_loss,wall_s
250,52,29775322152960,2.5652,2.49197,7.53
500,103,59260734013440,2.44554,2.4378,14.93
750,150,87586504704000,2.35569,2.33265,22.26
1000,200,116782006272000,2.30458,2.21121,29.71
1250,200,131481993216000,2.14551,2.10611,35.83
1500,200,146181980160000,2.06896,2.03887,42.0
1750,200,160881967104000,2.00062,1.98146,48.15
2000,250,190077468672000,1.89703,1.91491,55.69
2250,250,204777455616000,1.8524,1.881,61.88
2500,250,219477442560000,1.82175,1.85528,68.08
2750,250,234177429504000,1.79351,1.83362,74.29
3000,250,248877416448000,1.77672,1.8189,80.48
3250,250,263577403392000,1.76341,1.80886,86.68
3500,300,292772904960000,1.74732,1.79265,94.23
3750,300,307472891904000,1.7334,1.7898,100.43
4000,300,322172878848000,1.72651,1.78227,106.63
4250,300,336872865792000,1.71891,1.77987,112.81
4500,300,351572852736000,1.7215,1.77758,118.98
4750,300,366272839680000,1.72008,1.77767,125.17
5000,300,380972826624000,1.72071,1.77787,131.35
