step,full_steps,bp_flops,train_loss_ema,val_loss,wall_s
250,0,14850981888000,2.63398,2.51378,26.13
500,52,44777298984960,2.47922,2.45991,52.49
750,100,73543974912000,2.39878,2.37184,80.07
1000,150,102890471424000,2.25997,2.1846,106.43
1250,150,117741453312000,2.11001,2.07339,132.31
1500,200,147087949824000,1.98503,1.96977,159.85
1750,200,161938931712000,1.90654,1.91303,184.56
2000,200,176789913600000,1.84665,1.88175,210.5
2250,250,206136410112000,1.80587,1.84502,237.4
2500,250,220987392000000,1.76092,1.81319,262.7
2750,250,235838373888000,1.73333,1.78194,288.7
3000,250,250689355776000,1.71652,1.77329,313.32
3250,250,265540337664000,1.70131,1.75574,337.0
3500,250,280391319552000,1.68371,1.74442,362.36
3750,250,295242301440000,1.66924,1.73465,390.12
4000,300,324588797952000,1.65026,1.7155,417.71
4250,300,339439779840000,1.62812,1.70435,442.34
4500,300,354290761728000,1.62309,1.69928,469.55
4750,300,369141743616000,1.61399,1.69823,494.18
5000,300,383992725504000,1.60738,1.68741,518.67
5250,300,398843707392000,1.74711,1.67214,544.62
5500,300,413694689280000,1.69542,1.63958,570.54
5750,300,428545671168000,1.67326,1.62595,595.16
6000,350,457892167680000,1.65136,1.60898,621.35
6250,350,472743149568000,1.63166,1.59631,645.0
6500,350,487594131456000,1.6273,1.58599,669.65
6750,350,502445113344000,1.61476,1.58046,694.29
7000,350,517296095232000,1.60812,1.5731,718.89
7250,350,532147077120000,1.60479,1.57084,744.76
7500,350,546998059008000,1.60086,1.567,769.43
7750,350,561849040896000,1.59541,1.5644,794.12
8000,350,576700022784000,1.59315,1.56108,818.82
8250,400,606046519296000,1.59028,1.55825,845.01
8500,400,620897501184000,1.58666,1.55623,869.63
8750,400,635748483072000,1.58476,1.55592,894.26
9000,400,650599464960000,1.58436,1.55496,918.87
9250,400,665450446848000,1.58249,1.55422,944.73
9500,400,680301428736000,1.58432,1.55403,969.28
9750,400,695152410624000,1.58572,1.55383,993.88
10000,400,710003392512000,1.58527,1.55379,1018.48
