step,full_steps,bp_flops,train_loss_ema,val_loss,wall_s
200,0,11880785510400,2.77292,2.5402,25.1
400,50,38257085644800,2.51545,2.47748,51.7
600,100,64633385779200,2.43975,2.41113,78.92
800,103,77383902167040,2.39196,2.40063,105.12
1000,150,102890471424000,2.25997,2.1846,131.62
1200,150,114771256934400,2.13416,2.08788,156.52
1400,200,141147557068800,2.02855,1.98895,183.74
1600,200,153028342579200,1.94985,1.94507,209.82
1800,200,164909128089600,1.89298,1.90761,234.6
2000,200,176789913600000,1.84665,1.88175,259.4
2200,205,190120250572800,1.81699,1.85201,284.91
2400,250,215046999244800,1.77278,1.82373,312.84
2600,250,226927784755200,1.74962,1.79893,337.64
2800,250,238808570265600,1.73087,1.77816,362.45
3000,250,250689355776000,1.71652,1.77329,387.47
3200,250,262570141286400,1.70274,1.7623,413.93
3400,250,274450926796800,1.68955,1.75343,434.33
3600,250,286331712307200,1.67767,1.74684,454.32
3800,250,298212497817600,1.66546,1.7306,474.36
4000,300,324588797952000,1.65026,1.7155,497.48
4200,300,336469583462400,1.63285,1.70558,517.44
4400,300,348350368972800,1.62701,1.70062,537.52
4600,300,360231154483200,1.61907,1.70049,557.49
4800,300,372111939993600,1.61031,1.69247,578.77
5000,300,383992725504000,1.60738,1.68741,598.89
5200,300,395873511014400,1.60216,1.67993,618.94
5400,300,407754296524800,1.59964,1.67958,639.03
5600,300,419635082035200,1.76385,1.68091,660.31
5800,300,431515867545600,1.71048,1.65083,680.41
6000,350,457892167680000,1.68371,1.63087,702.07
6200,350,469772953190400,1.66232,1.61535,722.17
6400,350,481653738700800,1.65112,1.6067,741.88
6600,350,493534524211200,1.64156,1.59678,761.18
6800,350,505415309721600,1.63334,1.59163,781.14
7000,350,517296095232000,1.62392,1.58498,801.11
7200,350,529176880742400,1.62081,1.58168,821.19
7400,350,541057666252800,1.61693,1.5775,841.21
7600,350,552938451763200,1.61033,1.57533,861.26
7800,350,564819237273600,1.60794,1.57415,881.27
8000,350,576700022784000,1.60543,1.57072,901.31
8200,400,603076322918400,1.60322,1.56736,923.06
8400,400,614957108428800,1.59998,1.56662,943.11
8600,400,626837893939200,1.59741,1.56552,963.2
8800,400,638718679449600,1.59452,1.56467,983.18
9000,400,650599464960000,1.59565,1.56395,1003.16
9200,400,662480250470400,1.59367,1.5632,1023.14
9400,400,674361035980800,1.59571,1.563,1043.25
9600,400,686241821491200,1.59443,1.5629,1063.32
9800,400,698122607001600,1.59521,1.56269,1083.34
10000,400,710003392512000,1.5965,1.56267,1103.32
