step,full_steps,bp_flops,train_loss_ema,val_loss,wall_s
250,0,14699986944000,2.61062,2.51289,6.27
500,1,29689884180480,2.48572,2.59562,12.43
750,50,58595475456000,2.34271,2.24455,19.92
1000,50,73295462400000,2.17805,2.10713,26.08
1250,50,87995449344000,2.08119,2.04658,32.24
1500,50,102695436288000,2.0139,1.98944,38.41
1750,50,117395423232000,1.94573,1.93431,44.58
2000,100,146590924800000,1.88545,1.90127,52.1
2250,150,175786426368000,1.8294,1.87034,59.62
2500,200,204981927936000,1.79603,1.84956,67.14
2750,250,234177429504000,1.76903,1.81991,74.66
3000,250,248877416448000,1.748,1.8099,80.82
3250,300,278072918016000,1.73386,1.79493,88.34
3500,300,292772904960000,1.71969,1.78329,94.5
3750,300,307472891904000,1.7122,1.78098,100.67
4000,300,322172878848000,1.70647,1.77579,106.83
4250,350,351368380416000,1.6977,1.77303,114.35
4500,350,366068367360000,1.70032,1.77073,120.52
4750,350,380768354304000,1.69815,1.7707,126.69
5000,350,395468341248000,1.69978,1.77088,132.86
