step,full_steps,bp_flops,train_loss_ema,val_loss,wall_s
250,0,14850981888000,2.63398,2.51378,6.26
500,0,29701963776000,2.49326,2.47424,12.39
750,0,44552945664000,2.45506,2.4299,18.53
1000,0,59403927552000,2.31728,2.22513,24.67
1250,0,74254909440000,2.1401,2.10443,30.82
1500,0,89105891328000,2.02377,2.00738,36.97
1750,0,103956873216000,1.93191,1.93476,43.13
2000,0,118807855104000,1.87506,1.90523,49.28
2250,0,133658836992000,1.84138,1.87379,55.45
2500,0,148509818880000,1.81866,1.85983,61.6
2750,0,163360800768000,1.79932,1.83834,67.77
3000,0,178211782656000,1.78765,1.83374,73.93
3250,0,193062764544000,1.77717,1.82119,80.09
3500,0,207913746432000,1.76416,1.81059,86.26
3750,0,222764728320000,1.75468,1.81006,92.43
4000,0,237615710208000,1.74514,1.80068,98.59
4250,0,252466692096000,1.73123,1.79667,104.75
4500,0,267317673984000,1.72877,1.79856,110.91
4750,0,282168655872000,1.72081,1.80019,117.08
5000,0,297019637760000,1.71498,1.79032,123.26
5250,0,311870619648000,1.8343,1.75653,129.43
5500,0,326721601536000,1.79013,1.7315,135.6
5750,0,341572583424000,1.77157,1.71984,141.76
6000,0,356423565312000,1.75344,1.70816,147.94
6250,0,371274547200000,1.74316,1.69926,154.12
6500,0,386125529088000,1.73921,1.68997,160.29
6750,0,400976510976000,1.72837,1.6858,166.47
7000,0,415827492864000,1.72448,1.67904,172.64
7250,0,430678474752000,1.7202,1.6766,178.81
7500,0,445529456640000,1.71697,1.67309,184.97
7750,0,460380438528000,1.71266,1.67009,191.13
8000,0,475231420416000,1.71108,1.66724,197.32
8250,0,490082402304000,1.71042,1.66626,203.48
8500,0,504933384192000,1.70695,1.66416,209.64
8750,0,519784366080000,1.70531,1.66386,215.8
9000,0,534635347968000,1.70562,1.66295,221.96
9250,250,621963902976000,1.70151,1.65957,234.92
9500,500,709292457984000,1.70094,1.65856,247.85
9750,750,796621012992000,1.70085,1.65795,260.79
10000,1000,883949568000000,1.70015,1.65784,273.75
