step,full_steps,bp_flops,train_loss_ema,val_loss,wall_s
250,50,29195501568000,2.59588,2.50968,7.63
500,100,58391003136000,2.46802,2.44918,15.14
750,150,87586504704000,2.3727,2.3217,22.65
1000,200,116782006272000,2.21715,2.14175,30.18
1250,250,145977507840000,2.06891,2.02217,37.69
1500,300,175173009408000,1.96727,1.96039,45.2
1750,350,204368510976000,1.88393,1.89876,52.71
2000,400,233564012544000,1.82083,1.85538,60.22
2250,450,262759514112000,1.76906,1.82481,67.72
2500,500,291955015680000,1.73344,1.80118,75.23
2750,550,321150517248000,1.71249,1.78311,82.75
3000,600,350346018816000,1.68911,1.76988,90.27
3250,650,379541520384000,1.67471,1.75748,97.81
3500,700,408737021952000,1.66038,1.7525,105.32
3750,750,437932523520000,1.65661,1.74421,112.84
4000,800,467128025088000,1.65049,1.73881,120.35
4250,850,496323526656000,1.64714,1.7351,127.87
4500,900,525519028224000,1.64007,1.73546,135.4
4750,950,554714529792000,1.64184,1.73394,142.92
5000,1000,583910031360000,1.64374,1.7341,150.43
