step,full_steps,bp_flops,train_loss_ema,val_loss,wall_s
250,50,29195501568000,2.59664,2.50953,7.62
500,50,43895488512000,2.48056,2.45411,13.77
750,50,58595475456000,2.44322,2.42304,19.92
1000,100,87790977024000,2.30417,2.20573,27.42
1250,100,102490963968000,2.14616,2.0902,33.57
1500,100,117190950912000,2.05876,2.05005,39.72
1750,150,146386452480000,1.98339,1.97864,47.23
2000,150,161086439424000,1.91175,1.92657,53.39
2250,150,175786426368000,1.85493,1.89009,59.54
2500,151,190776323604480,1.81631,1.86829,65.72
2750,200,219681914880000,1.7844,1.84417,73.21
3000,200,234381901824000,1.76113,1.83378,79.37
3250,200,249081888768000,1.74823,1.82165,85.54
3500,250,278277390336000,1.73139,1.81652,93.05
3750,250,292977377280000,1.72804,1.80721,99.21
4000,250,307677364224000,1.72248,1.80359,105.38
4250,300,336872865792000,1.71987,1.79979,112.89
4500,300,351572852736000,1.7134,1.8005,119.05
4750,300,366272839680000,1.71446,1.79965,125.21
5000,302,381552647208960,1.71674,1.79963,131.44
