step,full_steps,bp_flops,train_loss_ema,val_loss,wall_s
250,50,29293019136000,2.62645,2.51253,7.65
500,50,44090523648000,2.49473,2.4681,13.79
750,50,58888028160000,2.46283,2.44464,19.93
1000,100,88181047296000,2.39134,2.33365,27.45
1250,100,102978551808000,2.29927,2.21514,33.59
1500,100,117776056320000,2.17858,2.1169,39.74
1750,150,147069075456000,2.06269,2.03416,47.25
2000,150,161866579968000,1.96453,1.9712,53.43
2250,150,176664084480000,1.88866,1.9178,59.58
2500,151,191751499284480,1.8317,1.87426,65.77
2750,200,220754608128000,1.77053,1.83453,73.25
3000,200,235552112640000,1.73541,1.81238,79.41
3250,200,250349617152000,1.71282,1.78378,85.6
3500,250,279642636288000,1.68362,1.76571,93.12
3750,250,294440140800000,1.66548,1.75214,99.29
4000,250,309237645312000,1.65588,1.73996,105.46
4250,300,338530664448000,1.6408,1.72824,112.98
4500,300,353328168960000,1.628,1.71444,119.15
4750,300,368125673472000,1.62243,1.71085,125.33
5000,302,383502998568960,1.61501,1.70834,131.55
5250,350,412216197120000,1.60341,1.69467,139.04
5500,350,427013701632000,2.19372,2.0142,145.22
5750,350,441811206144000,1.8416,1.74435,151.4
6000,400,471104225280000,1.70247,1.6413,158.92
6250,400,485901729792000,1.64849,1.58782,165.08
6500,400,500699234304000,1.60914,1.55328,171.24
6750,450,529992253440000,1.58099,1.52507,178.77
7000,450,544789757952000,1.55236,1.5079,184.93
7250,450,559587262464000,1.53727,1.4989,191.11
7500,453,575254497853440,1.52494,1.48519,197.37
7750,500,603677786112000,1.50781,1.47362,204.82
8000,500,618475290624000,1.49908,1.465,210.98
8250,500,633272795136000,1.49892,1.46105,217.16
8500,550,662565814272000,1.48953,1.4584,224.67
8750,550,677363318784000,1.49016,1.45397,230.83
9000,550,692160823296000,1.48439,1.4542,236.99
9250,600,721453842432000,1.48834,1.45181,244.5
9500,600,736251346944000,1.47959,1.45145,250.69
9750,600,751048851456000,1.47918,1.45118,256.85
10000,604,767005997137920,1.48543,1.45105,263.13
